date,fees
2020-10-30,0.00
2020-10-31,25740.06
2020-11-01,17307.79
2020-11-02,27260.52
2020-11-03,35818.49
2020-11-04,33201.89
2020-11-05,30826.56
2020-11-06,64020.61
2020-11-07,45173.48
2020-11-08,43947.21
2020-11-09,26753.73
2020-11-10,48073.20
2020-11-11,28812.49
2020-11-12,29853.14
2020-11-13,39522.44
2020-11-14,45686.82
2020-11-15,213311.85
2020-11-16,39539.95
2020-11-17,50286.75
2020-11-18,59839.20
2020-11-19,70439.20
2020-11-20,56304.69
2020-11-21,50611.42
2020-11-22,44595.17
2020-11-23,54042.11
2020-11-24,51844.99
2020-11-25,38704.52
2020-11-26,28095.24
2020-11-27,97427.66
2020-11-28,31373.91
2020-11-29,29762.62
2020-11-30,20559.01
2020-12-01,99986.38
2020-12-02,46824.61
2020-12-03,41994.21
2020-12-04,40048.08
2020-12-05,39546.12
2020-12-06,50398.59
2020-12-07,29819.08
2020-12-08,38521.76
2020-12-09,34050.03
2020-12-10,41727.40
2020-12-11,53827.61
2020-12-12,30872.41
2020-12-13,53641.94
2020-12-14,27230.25
2020-12-15,30691.56
2020-12-16,28018.74
2020-12-17,46680.33
2020-12-18,44431.92
2020-12-19,78994.78
2020-12-20,31328.64
2020-12-21,28797.07
2020-12-22,52216.71
2020-12-23,101043.94
2020-12-24,63290.39
2020-12-25,59947.77
2020-12-26,42821.04
2020-12-27,56893.06
2020-12-28,81915.91
2020-12-29,73941.10
2020-12-30,53004.67
2020-12-31,142575.93
2021-01-01,82380.34
2021-01-02,69416.90
2021-01-03,246935.27
2021-01-04,101255.32
2021-01-05,153891.74
2021-01-06,92204.33
2021-01-07,126684.82
2021-01-08,118814.72
2021-01-09,117778.91
2021-01-10,89911.94
2021-01-11,88763.17
2021-01-12,142964.12
2021-01-13,108210.03
2021-01-14,79028.22
2021-01-15,146534.70
2021-01-16,115400.01
2021-01-17,94726.46
2021-01-18,84369.60
2021-01-19,99237.32
2021-01-20,139824.11
2021-01-21,107408.86
2021-01-22,138783.57
2021-01-23,244904.31
2021-01-24,120797.93
2021-01-25,122485.76
2021-01-26,166802.63
2021-01-27,148781.81
2021-01-28,128921.74
2021-01-29,123254.61
2021-01-30,185151.10
2021-01-31,91497.21
2021-02-01,119222.08
2021-02-02,127731.16
2021-02-03,144052.53
2021-02-04,116735.42
2021-02-05,152726.73
2021-02-06,157164.91
2021-02-07,154512.39
2021-02-08,163267.93
2021-02-09,196500.12
2021-02-10,185240.03
2021-02-11,222835.92
2021-02-12,250483.72
2021-02-13,150670.37
2021-02-14,173346.32
2021-02-15,190396.40
2021-02-16,165132.62
2021-02-17,166002.82
2021-02-18,213138.02
2021-02-19,215193.94
2021-02-20,209907.26
2021-02-21,248988.42
2021-02-22,206372.59
2021-02-23,268140.21
2021-02-24,260488.84
2021-02-25,196662.76
2021-02-26,421513.21
2021-02-27,232004.70
2021-02-28,192037.15
2021-03-01,288626.46
2021-03-02,236908.91
2021-03-03,248347.85
2021-03-04,314995.06
2021-03-05,272652.38
2021-03-06,258625.21
2021-03-07,239140.83
2021-03-08,563032.48
2021-03-09,251356.47
2021-03-10,287347.39
2021-03-11,235214.10
2021-03-12,240844.78
2021-03-13,341428.92
2021-03-14,232474.38
2021-03-15,211706.43
2021-03-16,218959.05
2021-03-17,204688.34
2021-03-18,173228.88
2021-03-19,348292.79
2021-03-20,206958.20
2021-03-21,186618.39
2021-03-22,218870.81
2021-03-23,228744.55
2021-03-24,206913.65
2021-03-25,375662.87
2021-03-26,221533.24
2021-03-27,281736.36
2021-03-28,201238.69
2021-03-29,204230.92
2021-03-30,245016.47
2021-03-31,240060.58
2021-04-01,289837.05
2021-04-02,263355.74
2021-04-03,276035.11
2021-04-04,349736.16
2021-04-05,239341.60
2021-04-06,269639.62
2021-04-07,200413.58
2021-04-08,402538.45
2021-04-09,341027.66
2021-04-10,335457.33
2021-04-11,379988.56
2021-04-12,284850.37
2021-04-13,380835.88
2021-04-14,571382.66
2021-04-15,401580.23
2021-04-16,318010.19
2021-04-17,419246.44
2021-04-18,287119.79
2021-04-19,438273.58
2021-04-20,766007.05
2021-04-21,436914.59
2021-04-22,329659.26
2021-04-23,365681.37
2021-04-24,429728.59
2021-04-25,315110.32
2021-04-26,286472.06
2021-04-27,446552.54
2021-04-28,526871.04
2021-04-29,384584.42
2021-04-30,425417.36
2021-05-01,190639.71
2021-05-02,191926.37
2021-05-03,173287.68
2021-05-04,320631.46
2021-05-05,372882.93
2021-05-06,246557.54
2021-05-07,344657.52
2021-05-08,333787.49
2021-05-09,229423.39
2021-05-10,222210.92
2021-05-11,241595.19
2021-05-12,283816.55
2021-05-13,321063.83
2021-05-14,430956.75
2021-05-15,501736.52
2021-05-16,257148.86
2021-05-17,380160.81
2021-05-18,451418.14
2021-05-19,310638.08
2021-05-20,1393783.85
2021-05-21,743200.09
2021-05-22,592550.11
2021-05-23,312892.87
2021-05-24,970530.10
2021-05-25,446318.71
2021-05-26,337108.96
2021-05-27,415408.82
2021-05-28,488762.01
2021-05-29,270984.52
2021-05-30,321084.31
2021-05-31,341552.14
2021-06-01,241625.72
2021-06-02,283115.28
2021-06-03,528766.22
2021-06-04,273592.71
2021-06-05,255159.66
2021-06-06,253045.11
2021-06-07,170249.43
2021-06-08,201695.67
2021-06-09,310119.69
2021-06-10,386869.98
2021-06-11,329654.69
2021-06-12,377670.61
2021-06-13,215142.31
2021-06-14,182884.34
2021-06-15,356857.76
2021-06-16,311072.67
2021-06-17,491200.52
2021-06-18,504336.78
2021-06-19,356422.96
2021-06-20,236666.34
2021-06-21,193449.92
2021-06-22,627710.48
2021-06-23,510781.01
2021-06-24,456181.79
2021-06-25,268898.03
2021-06-26,234365.26
2021-06-27,116521.41
2021-06-28,173870.34
2021-06-29,226450.87
2021-06-30,439773.05
2021-07-01,217560.44
2021-07-02,367747.16
2021-07-03,185893.96
2021-07-04,205624.57
2021-07-05,100261.68
2021-07-06,117753.03
2021-07-07,323547.46
2021-07-08,151246.58
2021-07-09,230162.42
2021-07-10,183482.77
2021-07-11,122086.74
2021-07-12,88378.21
2021-07-13,187808.52
2021-07-14,220103.04
2021-07-15,269250.00
2021-07-16,250142.48
2021-07-17,193723.80
2021-07-18,117601.05
2021-07-19,88523.73
2021-07-20,208523.12
2021-07-21,275238.70
2021-07-22,335453.70
2021-07-23,155174.44
2021-07-24,138007.74
2021-07-25,170527.72
2021-07-26,144386.44
2021-07-27,241461.02
2021-07-28,124500.45
2021-07-29,280221.72
2021-07-30,187014.42
2021-07-31,185255.84
2021-08-01,151553.16
2021-08-02,261291.59
2021-08-03,184356.79
2021-08-04,523891.36
2021-08-05,270347.07
2021-08-06,248390.93
2021-08-07,334667.93
2021-08-08,284987.83
2021-08-09,219350.96
2021-08-10,247977.98
2021-08-11,336180.03
2021-08-12,338194.73
2021-08-13,291081.57
2021-08-14,239647.11
2021-08-15,184871.67
2021-08-16,148420.09
2021-08-17,318328.11
2021-08-18,236035.01
2021-08-19,492377.42
2021-08-20,219783.29
2021-08-21,290067.68
2021-08-22,287955.57
2021-08-23,167176.37
2021-08-24,222313.36
2021-08-25,467576.38
2021-08-26,195000.67
2021-08-27,187062.87
2021-08-28,196597.75
2021-08-29,126313.46
2021-08-30,133517.97
2021-08-31,207938.52
2021-09-01,231393.84
2021-09-02,217017.19
2021-09-03,282889.95
2021-09-04,186372.94
2021-09-05,127075.12
2021-09-06,162413.56
2021-09-07,180997.07
2021-09-08,446983.78
2021-09-09,327598.82
2021-09-10,354320.53
2021-09-11,316263.37
2021-09-12,319978.48
2021-09-13,292346.37
2021-09-14,209181.62
2021-09-15,238465.11
2021-09-16,392347.82
2021-09-17,348482.72
2021-09-18,205190.30
2021-09-19,135519.06
2021-09-20,189310.38
2021-09-21,437717.19
2021-09-22,429309.61
2021-09-23,255865.29
2021-09-24,355731.38
2021-09-25,468925.53
2021-09-26,257278.11
2021-09-27,279216.54
2021-09-28,311955.53
2021-09-29,283939.19
2021-09-30,208624.74
2021-10-01,307509.72
2021-10-02,349575.17
2021-10-03,213625.31
2021-10-04,281343.14
2021-10-05,270037.04
2021-10-06,342319.15
2021-10-07,470112.04
2021-10-08,454604.98
2021-10-09,477742.67
2021-10-10,339332.59
2021-10-11,426943.24
2021-10-12,318538.51
2021-10-13,387860.25
2021-10-14,380283.10
2021-10-15,554086.22
2021-10-16,518103.19
2021-10-17,371278.47
2021-10-18,241674.08
2021-10-19,360008.09
2021-10-20,344662.38
2021-10-21,573111.43
2021-10-22,447880.47
2021-10-23,456293.66
2021-10-24,311308.25
2021-10-25,282403.86
2021-10-26,403636.20
2021-10-27,431123.39
2021-10-28,690338.74
2021-10-29,660797.14
2021-10-30,813226.78
2021-10-31,418088.18
2021-11-01,371773.47
2021-11-02,307347.97
2021-11-03,426886.60
2021-11-04,329053.71
2021-11-05,436718.72
2021-11-06,444477.90
2021-11-07,295557.71
2021-11-08,407972.44
2021-11-09,515674.68
2021-11-10,410903.55
2021-11-11,651975.49
2021-11-12,604817.84
2021-11-13,403152.54
2021-11-14,472172.14
2021-11-15,267874.97
2021-11-16,352410.18
2021-11-17,601380.88
2021-11-18,636881.16
2021-11-19,556519.10
2021-11-20,493725.40
2021-11-21,322933.26
2021-11-22,325932.50
2021-11-23,539058.80
2021-11-24,340977.17
2021-11-25,517551.13
2021-11-26,685106.96
2021-11-27,590688.93
2021-11-28,280384.52
2021-11-29,400256.26
2021-11-30,423194.26
2021-12-01,701360.43
2021-12-02,701133.99
2021-12-03,750420.70
2021-12-04,768839.87
2021-12-05,1301244.62
2021-12-06,633581.42
2021-12-07,803073.40
2021-12-08,428330.26
2021-12-09,486267.60
2021-12-10,699462.51
2021-12-11,594760.60
2021-12-12,401348.03
2021-12-13,310420.73
2021-12-14,524910.82
2021-12-15,448187.07
2021-12-16,660880.50
2021-12-17,418655.56
2021-12-18,626902.75
2021-12-19,768548.57
2021-12-20,432290.45
2021-12-21,617726.01
2021-12-22,812888.94
2021-12-23,693199.22
2021-12-24,879073.32
2021-12-25,608483.74
2021-12-26,477709.07
2021-12-27,354257.99
2021-12-28,485303.79
2021-12-29,510450.62
2021-12-30,555417.91
2021-12-31,529325.86
2022-01-01,527468.36
2022-01-02,801629.82
2022-01-03,384387.14
2022-01-04,503779.25
2022-01-05,469613.48
2022-01-06,765458.28
2022-01-07,678063.88
2022-01-08,808508.47
2022-01-09,424208.18
2022-01-10,374598.13
2022-01-11,519051.34
2022-01-12,521849.42
2022-01-13,410212.85
2022-01-14,527693.10
2022-01-15,381020.62
2022-01-16,405663.73
2022-01-17,327971.28
2022-01-18,477098.30
2022-01-19,463432.36
2022-01-20,911286.36
2022-01-21,740318.94
2022-01-22,1414420.29
2022-01-23,1689914.73
2022-01-24,528132.90
2022-01-25,1015188.17
2022-01-26,560119.30
2022-01-27,857430.92
2022-01-28,1223524.50
2022-01-29,2293007.62
2022-01-30,937694.74
2022-01-31,455311.17
2022-02-01,459711.74
2022-02-02,472019.15
2022-02-03,471891.17
2022-02-04,500728.61
2022-02-05,527465.86
2022-02-06,388762.26
2022-02-07,320526.14
2022-02-08,509252.54
2022-02-09,449010.94
2022-02-10,432666.85
2022-02-11,401099.19
2022-02-12,424003.10
2022-02-13,264293.52
2022-02-14,246621.50
2022-02-15,405988.77
2022-02-16,315244.76
2022-02-17,467638.82
2022-02-18,493477.87
2022-02-19,331071.76
2022-02-20,232539.88
2022-02-21,240826.66
2022-02-22,360567.08
2022-02-23,420541.64
2022-02-24,499264.09
2022-02-25,839379.12
2022-02-26,712984.80
2022-02-27,354858.43
2022-02-28,426549.26
2022-03-01,513065.19
2022-03-02,581589.92
2022-03-03,740206.56
2022-03-04,399145.33
2022-03-05,403932.80
2022-03-06,399328.29
2022-03-07,452118.37
2022-03-08,485164.36
2022-03-09,378909.94
2022-03-10,422351.89
2022-03-11,325077.34
2022-03-12,424419.89
2022-03-13,355931.33
2022-03-14,348666.20
2022-03-15,318628.65
2022-03-16,312799.40
2022-03-17,405664.14
2022-03-18,410552.28
2022-03-19,489568.06
2022-03-20,242396.81
2022-03-21,210513.89
2022-03-22,269376.03
2022-03-23,300826.60
2022-03-24,349813.41
2022-03-25,567170.27
2022-03-26,664585.65
2022-03-27,377005.85
2022-03-28,420626.69
2022-03-29,479565.77
2022-03-30,369446.03
2022-03-31,482867.86
2022-04-01,595827.42
2022-04-02,496187.57
2022-04-03,506104.25
2022-04-04,345478.66
2022-04-05,453794.03
2022-04-06,394205.39
2022-04-07,481716.86
2022-04-08,454740.66
2022-04-09,465123.00
2022-04-10,280258.89
2022-04-11,266204.54
2022-04-12,783527.13
2022-04-13,431209.25
2022-04-14,387194.78
2022-04-15,337443.42
2022-04-16,415862.40
2022-04-17,207876.20
2022-04-18,595530.83
2022-04-19,351544.45
2022-04-20,360911.67
2022-04-21,451489.06
2022-04-22,459248.33
2022-04-23,620950.17
2022-04-24,265929.75
2022-04-25,244832.44
2022-04-26,386805.15
2022-04-27,364407.95
2022-04-28,376229.56
2022-04-29,365170.51
2022-04-30,280238.72
2022-05-01,463203.81
2022-05-02,314893.92
2022-05-03,353574.73
2022-05-04,269899.01
2022-05-05,399286.24
2022-05-06,438550.63
2022-05-07,373498.99
2022-05-08,1070407.97
2022-05-09,1598945.19
2022-05-10,2077267.41
2022-05-11,1801319.15
2022-05-12,3571153.82
2022-05-13,3804397.78
2022-05-14,1010835.00
2022-05-15,355943.10
2022-05-16,709147.04
2022-05-17,318645.43
2022-05-18,227440.49
2022-05-19,250913.86
2022-05-20,354591.43
2022-05-21,243185.99
2022-05-22,247110.11
2022-05-23,128547.73
2022-05-24,182444.04
2022-05-25,177255.02
2022-05-26,207008.98
2022-05-27,234479.23
2022-05-28,218061.07
2022-05-29,98106.43
2022-05-30,75218.39
2022-05-31,174026.90
2022-06-01,554869.35
2022-06-02,133532.56
2022-06-03,141199.95
2022-06-04,123745.69
2022-06-05,131602.47
2022-06-06,132008.97
2022-06-07,140820.26
2022-06-08,307972.56
2022-06-09,250038.79
2022-06-10,136037.36
2022-06-11,371935.76
2022-06-12,300757.22
2022-06-13,251786.79
2022-06-14,1007253.99
2022-06-15,615857.51
2022-06-16,571854.48
2022-06-17,423108.51
2022-06-18,288338.57
2022-06-19,784984.70
2022-06-20,301311.21
2022-06-21,281785.73
2022-06-22,210948.28
2022-06-23,179538.77
2022-06-24,196449.71
2022-06-25,210188.48
2022-06-26,120478.08
2022-06-27,133574.69
2022-06-28,125765.68
2022-06-29,165992.39
2022-06-30,212018.19
2022-07-01,187147.10
2022-07-02,245489.83
2022-07-03,118527.46
2022-07-04,81726.14
2022-07-05,289196.21
2022-07-06,182343.90
2022-07-07,187628.44
2022-07-08,130320.71
2022-07-09,128046.01
2022-07-10,68768.93
2022-07-11,377324.58
2022-07-12,735350.34
2022-07-13,119535.52
2022-07-14,138839.53
2022-07-15,761276.91
2022-07-16,181536.38
2022-07-17,147365.75
2022-07-18,139610.48
2022-07-19,211685.82
2022-07-20,236514.95
2022-07-21,211579.25
2022-07-22,163573.40
2022-07-23,178473.61
2022-07-24,107463.42
2022-07-25,116864.16
2022-07-26,158364.53
2022-07-27,1101040.88
2022-07-28,179107.00
2022-07-29,454028.91
2022-07-30,162614.42
2022-07-31,127440.95
2022-08-01,91307.67
2022-08-02,122339.71
2022-08-03,140868.94
2022-08-04,95080.61
2022-08-05,109197.84
2022-08-06,134780.72
2022-08-07,67866.30
2022-08-08,67325.68
2022-08-09,98958.41
2022-08-10,132514.62
2022-08-11,139783.79
2022-08-12,164521.35
2022-08-13,368591.40
2022-08-14,105160.15
2022-08-15,83206.01
2022-08-16,133618.94
2022-08-17,399837.16
2022-08-18,138703.26
2022-08-19,816775.84
2022-08-20,539305.25
2022-08-21,300310.73
2022-08-22,114411.67
2022-08-23,139804.77
2022-08-24,147329.98
2022-08-25,128952.73
2022-08-26,143116.64
2022-08-27,161006.58
2022-08-28,1018286.62
2022-08-29,612164.66
2022-08-30,114510.11
2022-08-31,656381.62
2022-09-01,1007526.81
2022-09-02,103404.94
2022-09-03,91121.31
2022-09-04,125367.41
2022-09-05,94779.10
2022-09-06,80027.73
2022-09-07,1054037.51
2022-09-08,134682.58
2022-09-09,102012.13
2022-09-10,139722.20
2022-09-11,78094.11
2022-09-12,80862.35
2022-09-13,121696.13
2022-09-14,148685.24
2022-09-15,177715.62
2022-09-16,700280.24
2022-09-17,127155.50
2022-09-18,279448.15
2022-09-19,94539.19
2022-09-20,116853.84
2022-09-21,102948.16
2022-09-22,129226.81
2022-09-23,92305.33
2022-09-24,102006.28
2022-09-25,52846.10
2022-09-26,65453.86
2022-09-27,79313.88
2022-09-28,111093.84
2022-09-29,94540.34
2022-09-30,102301.68
2022-10-01,96841.72
2022-10-02,49739.59
2022-10-03,44749.92
2022-10-04,120386.07
2022-10-05,67606.26
2022-10-06,720040.87
2022-10-07,117151.72
2022-10-08,79388.10
2022-10-09,32198.34
2022-10-10,28899.17
2022-10-11,56861.55
2022-10-12,63200.90
2022-10-13,590257.17
2022-10-14,111524.50
2022-10-15,69950.48
2022-10-16,670175.27
2022-10-17,33015.79
2022-10-18,67762.11
2022-10-19,80393.16
2022-10-20,92085.14
2022-10-21,64727.70
2022-10-22,606076.46
2022-10-23,863033.47
2022-10-24,340572.81
2022-10-25,85226.88
2022-10-26,121463.19
2022-10-27,117992.30
2022-10-28,644603.41
2022-10-29,83278.98
2022-10-30,1029844.78
2022-10-31,62958.38
2022-11-01,593956.07
2022-11-02,77892.68
2022-11-03,93300.14
2022-11-04,95236.94
2022-11-05,477008.06
2022-11-06,388797.56
2022-11-07,623721.81
2022-11-08,108183.89
2022-11-09,458673.48
2022-11-10,578361.28
2022-11-11,1154572.76
2022-11-12,267977.80
2022-11-13,409764.68
2022-11-14,134047.42
2022-11-15,213894.95
2022-11-16,166357.06
2022-11-17,453807.46
2022-11-18,631988.90
2022-11-19,822307.33
2022-11-20,155404.42
2022-11-21,367680.05
2022-11-22,668748.16
2022-11-23,1129815.03
2022-11-24,198729.48
2022-11-25,237229.25
2022-11-26,537429.34
2022-11-27,487405.82
2022-11-28,924382.18
2022-11-29,278971.87
2022-11-30,555042.29
2022-12-01,199784.58
2022-12-02,902720.03
2022-12-03,71281.21
2022-12-04,379722.50
2022-12-05,304272.46
2022-12-06,156672.77
2022-12-07,307474.28
2022-12-08,437263.82
2022-12-09,196694.78
2022-12-10,644885.49
2022-12-11,105738.83
2022-12-12,360166.06
2022-12-13,954159.26
2022-12-14,809503.65
2022-12-15,428239.30
2022-12-16,707099.58
2022-12-17,425580.72
2022-12-18,254640.68
2022-12-19,247711.49
2022-12-20,582110.67
2022-12-21,371583.36
2022-12-22,173166.74
2022-12-23,209723.50
2022-12-24,519921.09
2022-12-25,27449.35
2022-12-26,203670.51
2022-12-27,179614.61
2022-12-28,351075.34
2022-12-29,657532.23
2022-12-30,122745.15
2022-12-31,205096.45
2023-01-01,457813.23
2023-01-02,195923.56
2023-01-03,33529.55
2023-01-04,54845.11
2023-01-05,590008.13
2023-01-06,296645.42
2023-01-07,524341.48
2023-01-08,96880.12
2023-01-09,570989.57
2023-01-10,99231.72
2023-01-11,709727.73
2023-01-12,1055836.51
2023-01-13,119662.70
2023-01-14,114334.88
2023-01-15,145619.34
2023-01-16,145882.49
2023-01-17,129956.65
2023-01-18,126447.35
2023-01-19,159678.43
2023-01-20,122038.83
2023-01-21,111372.28
2023-01-22,130792.89
2023-01-23,118206.03
2023-01-24,169579.52
2023-01-25,167289.53
2023-01-26,167194.05
2023-01-27,137920.79
2023-01-28,116194.22
2023-01-29,97188.57
2023-01-30,51669.27
2023-01-31,82356.48
2023-02-01,106570.05
2023-02-02,108288.23
2023-02-03,124966.37
2023-02-04,142519.28
2023-02-05,66443.49
2023-02-06,79409.06
2023-02-07,98507.22
2023-02-08,132908.64
2023-02-09,138616.42
2023-02-10,170122.06
2023-02-11,127851.21
2023-02-12,71858.65
2023-02-13,63867.91
2023-02-14,283194.35
2023-02-15,126338.57
2023-02-16,111501.44
2023-02-17,155563.84
2023-02-18,104485.38
2023-02-19,82827.96
2023-02-20,71779.84
2023-02-21,90504.83
2023-02-22,87564.66
2023-02-23,86311.84
2023-02-24,86385.92
2023-02-25,87093.84
2023-02-26,61477.41
2023-02-27,48349.02
2023-02-28,77112.18
2023-03-01,78587.87
2023-03-02,72905.16
2023-03-03,91453.16
2023-03-04,94740.95
2023-03-05,42769.40
2023-03-06,48061.66
2023-03-07,63084.72
2023-03-08,109083.91
2023-03-09,61637.70
2023-03-10,94198.94
2023-03-11,350840.79
2023-03-12,891458.72
2023-03-13,539021.08
2023-03-14,556281.91
2023-03-15,235182.88
2023-03-16,203571.22
2023-03-17,142805.81
2023-03-18,182602.44
2023-03-19,131116.73
2023-03-20,112892.15
2023-03-21,144851.76
2023-03-22,90815.97
2023-03-23,121235.90
2023-03-24,97957.51
2023-03-25,79438.28
2023-03-26,59116.59
2023-03-27,52232.56
2023-03-28,77228.01
2023-03-29,73483.61
2023-03-30,64007.39
2023-03-31,62250.29
2023-04-01,79075.06
2023-04-02,40969.16
2023-04-03,44056.43
2023-04-04,70602.32
2023-04-05,78393.79
2023-04-06,73980.98
2023-04-07,60973.20
2023-04-08,40629.08
2023-04-09,51795.13
2023-04-10,75715.02
2023-04-11,57014.99
2023-04-12,73435.36
2023-04-13,84912.44
2023-04-14,124604.17
2023-04-15,112446.31
2023-04-16,57696.95
2023-04-17,55747.68
2023-04-18,78191.00
2023-04-19,67153.07
2023-04-20,84955.20
2023-04-21,74608.66
2023-04-22,102514.29
2023-04-23,49280.79
2023-04-24,46647.90
2023-04-25,57910.04
2023-04-26,73361.56
2023-04-27,78655.99
2023-04-28,87155.99
2023-04-29,55251.12
2023-04-30,48772.95
2023-05-01,228707.57
2023-05-02,280672.66
2023-05-03,284676.48
2023-05-04,290853.55
2023-05-05,276690.60
2023-05-06,280763.06
2023-05-07,382781.88
2023-05-08,306538.89
2023-05-09,358728.13
2023-05-10,301061.89
2023-05-11,314320.68
2023-05-12,344876.25
2023-05-13,337298.19
2023-05-14,238834.71
2023-05-15,204745.07
2023-05-16,217523.44
2023-05-17,53621.76
2023-05-18,61757.55
2023-05-19,58131.45
2023-05-20,50090.12
2023-05-21,32541.21
2023-05-22,38242.02
2023-05-23,45219.82
2023-05-24,65539.39
2023-05-25,61479.56
2023-05-26,56794.67
2023-05-27,46102.43
2023-05-28,41279.42
2023-05-29,49656.87
2023-05-30,45952.20
2023-05-31,58122.49
2023-06-01,59727.01
2023-06-02,56192.32
2023-06-03,65710.27
2023-06-04,40428.57
2023-06-05,41245.27
2023-06-06,72650.44
2023-06-07,79644.85
2023-06-08,63792.17
2023-06-09,70601.79
2023-06-10,61132.32
2023-06-11,150722.18
2023-06-12,62967.37
2023-06-13,85838.72
2023-06-14,85692.63
2023-06-15,103250.89
2023-06-16,314945.96
2023-06-17,105955.22
2023-06-18,60856.12
2023-06-19,39810.18
2023-06-20,69281.47
2023-06-21,97786.20
2023-06-22,112732.63
2023-06-23,93439.74
2023-06-24,79194.26
2023-06-25,60741.62
2023-06-26,57498.48
2023-06-27,80022.95
2023-06-28,67553.94
2023-06-29,61685.05
2023-06-30,76439.78
2023-07-01,105347.81
2023-07-02,53651.49
2023-07-03,50649.67
2023-07-04,65432.93
2023-07-05,84025.37
2023-07-06,57243.96
2023-07-07,84029.25
2023-07-08,65670.31
2023-07-09,43667.53
2023-07-10,42565.16
2023-07-11,66217.34
2023-07-12,64942.70
2023-07-13,63954.89
2023-07-14,89675.04
2023-07-15,103180.86
2023-07-16,61532.91
2023-07-17,45877.96
2023-07-18,91781.45
2023-07-19,61361.02
2023-07-20,58853.03
2023-07-21,55401.59
2023-07-22,72538.64
2023-07-23,63017.43
2023-07-24,35705.89
2023-07-25,49894.47
2023-07-26,57353.44
2023-07-27,58844.77
2023-07-28,51041.77
2023-07-29,48764.12
2023-07-30,44269.00
2023-07-31,140648.32
2023-08-01,151267.82
2023-08-02,206991.15
2023-08-03,62368.85
2023-08-04,45286.37
2023-08-05,55670.54
2023-08-06,34143.89
2023-08-07,46026.18
2023-08-08,224023.75
2023-08-09,71739.73
2023-08-10,41777.69
2023-08-11,45803.79
2023-08-12,40371.98
2023-08-13,37079.79
2023-08-14,33770.85
2023-08-15,48471.40
2023-08-16,54189.77
2023-08-17,56184.09
2023-08-18,98555.85
2023-08-19,71402.99
2023-08-20,36522.40
2023-08-21,26767.68
2023-08-22,38101.80
2023-08-23,50631.45
2023-08-24,32960.57
2023-08-25,30713.11
2023-08-26,38995.44
2023-08-27,25569.19
2023-08-28,19579.73
2023-08-29,29500.61
2023-08-30,116597.82
2023-08-31,54823.82
2023-09-01,137192.32
2023-09-02,41673.83
2023-09-03,32170.99
2023-09-04,22318.46
2023-09-05,26336.58
2023-09-06,30490.89
2023-09-07,51867.87
2023-09-08,40775.50
2023-09-09,31346.53
2023-09-10,24377.50
2023-09-11,23231.24
2023-09-12,45843.58
2023-09-13,54979.48
2023-09-14,40693.93
2023-09-15,57714.33
2023-09-16,49780.10
2023-09-17,28692.35
2023-09-18,23140.15
2023-09-19,76253.68
2023-09-20,74738.70
2023-09-21,32945.84
2023-09-22,76477.85
2023-09-23,47416.40
2023-09-24,26943.38
2023-09-25,57288.73
2023-09-26,41249.74
2023-09-27,42975.29
2023-09-28,42437.19
2023-09-29,56535.74
2023-09-30,159414.53
2023-10-01,97199.04
2023-10-02,88143.45
2023-10-03,204846.81
2023-10-04,79375.47
2023-10-05,52796.43
2023-10-06,112446.05
2023-10-07,61121.73
2023-10-08,54221.31
2023-10-09,81530.88
2023-10-10,84116.64
2023-10-11,102506.14
2023-10-12,61370.57
2023-10-13,141534.37
2023-10-14,109300.38
2023-10-15,74822.42
2023-10-16,85186.42
2023-10-17,509444.25
2023-10-18,43958.85
2023-10-19,118222.04
2023-10-20,79659.81
2023-10-21,94796.85
2023-10-22,69476.56
2023-10-23,44315.70
2023-10-24,157725.43
2023-10-25,274497.63
2023-10-26,232017.59
2023-10-27,103076.41
2023-10-28,48659.78
2023-10-29,47310.67
2023-10-30,95025.99
2023-10-31,64721.67
2023-11-01,100815.98
2023-11-02,137319.71
2023-11-03,164990.08
2023-11-04,134925.80
2023-11-05,88479.58
2023-11-06,207961.08
2023-11-07,116727.93
2023-11-08,56694.36
2023-11-09,154419.62
2023-11-10,362725.14
2023-11-11,308741.37
2023-11-12,98705.96
2023-11-13,60978.19
2023-11-14,112811.10
2023-11-15,179320.40
2023-11-16,160964.16
2023-11-17,139614.18
2023-11-18,59980.32