date,p_f_ratio_fully_diluted
2020-10-31,277.33
2020-11-01,262.69
2020-11-02,206.44
2020-11-03,153.91
2020-11-04,138.86
2020-11-05,127.52
2020-11-06,112.18
2020-11-07,127.07
2020-11-08,119.62
2020-11-09,133.96
2020-11-10,122.87
2020-11-11,155.16
2020-11-12,151.06
2020-11-13,152.45
2020-11-14,184.43
2020-11-15,145.34
2020-11-16,158.24
2020-11-17,168.08
2020-11-18,175.95
2020-11-19,148.48
2020-11-20,154.63
2020-11-21,164.40
2020-11-22,164.81
2020-11-23,143.93
2020-11-24,140.95
2020-11-25,131.90
2020-11-26,126.86
2020-11-27,110.89
2020-11-28,121.48
2020-11-29,113.56
2020-11-30,122.69
2020-12-01,118.92
2020-12-02,119.03
2020-12-03,139.73
2020-12-04,143.99
2020-12-05,118.42
2020-12-06,128.53
2020-12-07,123.32
2020-12-08,124.59
2020-12-09,106.09
2020-12-10,111.53
2020-12-11,104.17
2020-12-12,97.09
2020-12-13,101.50
2020-12-14,106.71
2020-12-15,125.27
2020-12-16,124.71
2020-12-17,128.71
2020-12-18,131.47
2020-12-19,128.65
2020-12-20,135.15
2020-12-21,127.02
2020-12-22,115.23
2020-12-23,111.01
2020-12-24,82.68
2020-12-25,92.63
2020-12-26,93.74
2020-12-27,92.81
2020-12-28,89.95
2020-12-29,92.11
2020-12-30,85.83
2020-12-31,102.17
2021-01-01,107.65
2021-01-02,105.18
2021-01-03,92.10
2021-01-04,97.44
2021-01-05,90.32
2021-01-06,91.79
2021-01-07,93.28
2021-01-08,88.22
2021-01-09,82.61
2021-01-10,89.88
2021-01-11,86.46
2021-01-12,68.21
2021-01-13,66.04
2021-01-14,71.77
2021-01-15,78.32
2021-01-16,112.74
2021-01-17,106.21
2021-01-18,160.26
2021-01-19,149.24
2021-01-20,120.73
2021-01-21,144.83
2021-01-22,145.26
2021-01-23,163.77
2021-01-24,172.76
2021-01-25,178.94
2021-01-26,153.50
2021-01-27,159.56
2021-01-28,133.66
2021-01-29,150.41
2021-01-30,146.68
2021-01-31,179.66
2021-02-01,177.92
2021-02-02,183.93
2021-02-03,180.51
2021-02-04,191.71
2021-02-05,218.05
2021-02-06,233.67
2021-02-07,221.38
2021-02-08,208.36
2021-02-09,208.95
2021-02-10,210.47
2021-02-11,199.99
2021-02-12,221.64
2021-02-13,209.23
2021-02-14,201.85
2021-02-15,181.02
2021-02-16,161.03
2021-02-17,155.47
2021-02-18,158.83
2021-02-19,157.36
2021-02-20,145.14
2021-02-21,157.66
2021-02-22,157.68
2021-02-23,136.57
2021-02-24,109.16
2021-02-25,109.88
2021-02-26,97.05
2021-02-27,92.05
2021-02-28,93.53
2021-03-01,81.14
2021-03-02,89.93
2021-03-03,112.44
2021-03-04,98.17
2021-03-05,87.12
2021-03-06,84.71
2021-03-07,82.99
2021-03-08,85.58
2021-03-09,89.11
2021-03-10,89.25
2021-03-11,81.67
2021-03-12,79.28
2021-03-13,73.66
2021-03-14,85.12
2021-03-15,76.24
2021-03-16,79.44
2021-03-17,92.62
2021-03-18,86.84
2021-03-19,90.55
2021-03-20,95.00
2021-03-21,94.41
2021-03-22,90.32
2021-03-23,82.64
2021-03-24,101.66
2021-03-25,86.83
2021-03-26,82.47
2021-03-27,89.95
2021-03-28,109.29
2021-03-29,106.26
2021-03-30,123.48
2021-03-31,115.94
2021-04-01,109.13
2021-04-02,115.71
2021-04-03,117.79
2021-04-04,101.79
2021-04-05,108.41
2021-04-06,114.45
2021-04-07,115.88
2021-04-08,103.62
2021-04-09,108.95
2021-04-10,104.19
2021-04-11,101.92
2021-04-12,107.37
2021-04-13,103.11
2021-04-14,101.87
2021-04-15,100.93
2021-04-16,125.97
2021-04-17,120.24
2021-04-18,116.98
2021-04-19,96.70
2021-04-20,79.33
2021-04-21,82.98
2021-04-22,78.99
2021-04-23,74.90
2021-04-24,70.44
2021-04-25,62.46
2021-04-26,62.59
2021-04-27,71.75
2021-04-28,77.74
2021-04-29,75.24
2021-04-30,73.48
2021-05-01,81.69
2021-05-02,84.21
2021-05-03,81.37
2021-05-04,80.92
2021-05-05,69.67
2021-05-06,76.70
2021-05-07,79.47
2021-05-08,89.74
2021-05-09,88.48
2021-05-10,86.16
2021-05-11,78.65
2021-05-12,84.31
2021-05-13,87.03
2021-05-14,87.71
2021-05-15,94.57
2021-05-16,82.55
2021-05-17,84.24
2021-05-18,78.50
2021-05-19,90.77
2021-05-20,48.68
2021-05-21,51.54
2021-05-22,42.75
2021-05-23,38.11
2021-05-24,29.73
2021-05-25,35.69
2021-05-26,35.09
2021-05-27,41.80
2021-05-28,38.66
2021-05-29,35.52
2021-05-30,39.15
2021-05-31,37.09
2021-06-01,43.30
2021-06-02,44.95
2021-06-03,50.56
2021-06-04,54.51
2021-06-05,58.22
2021-06-06,54.98
2021-06-07,54.21
2021-06-08,47.26
2021-06-09,51.76
2021-06-10,54.84
2021-06-11,49.14
2021-06-12,46.60
2021-06-13,46.11
2021-06-14,49.81
2021-06-15,50.91
2021-06-16,50.77
2021-06-17,46.12
2021-06-18,46.26
2021-06-19,46.10
2021-06-20,47.16
2021-06-21,50.40
2021-06-22,37.26
2021-06-23,37.02
2021-06-24,39.98
2021-06-25,44.64
2021-06-26,40.15
2021-06-27,41.80
2021-06-28,45.45
2021-06-29,46.50
2021-06-30,51.06
2021-07-01,52.19
2021-07-02,48.54
2021-07-03,48.92
2021-07-04,52.22
2021-07-05,55.55
2021-07-06,55.39
2021-07-07,59.19
2021-07-08,58.70
2021-07-09,53.66
2021-07-10,55.59
2021-07-11,56.08
2021-07-12,58.35
2021-07-13,56.03
2021-07-14,52.81
2021-07-15,53.54
2021-07-16,50.31
2021-07-17,49.73
2021-07-18,52.61
2021-07-19,54.47
2021-07-20,52.14
2021-07-21,48.95
2021-07-22,57.18
2021-07-23,64.48
2021-07-24,70.30
2021-07-25,68.93
2021-07-26,69.41
2021-07-27,67.54
2021-07-28,69.68
2021-07-29,68.00
2021-07-30,74.61
2021-07-31,79.13
2021-08-01,82.68
2021-08-02,79.01
2021-08-03,77.79
2021-08-04,69.87
2021-08-05,70.50
2021-08-06,78.03
2021-08-07,82.45
2021-08-08,80.47
2021-08-09,73.68
2021-08-10,77.19
2021-08-11,81.10
2021-08-12,79.48
2021-08-13,78.10
2021-08-14,91.06
2021-08-15,88.25
2021-08-16,86.98
2021-08-17,81.06
2021-08-18,71.58
2021-08-19,69.64
2021-08-20,77.20
2021-08-21,83.05
2021-08-22,79.52
2021-08-23,86.85
2021-08-24,83.57
2021-08-25,71.75
2021-08-26,75.45
2021-08-27,70.78
2021-08-28,74.53
2021-08-29,72.38
2021-08-30,73.57
2021-08-31,72.93
2021-09-01,77.71
2021-09-02,79.15
2021-09-03,78.72
2021-09-04,79.39
2021-09-05,83.16
2021-09-06,92.58
2021-09-07,94.88
2021-09-08,73.45
2021-09-09,72.38
2021-09-10,86.70
2021-09-11,77.89
2021-09-12,82.33
2021-09-13,87.22
2021-09-14,85.23
2021-09-15,99.42
2021-09-16,106.65
2021-09-17,107.79
2021-09-18,101.11
2021-09-19,104.88
2021-09-20,112.62
2021-09-21,87.37
2021-09-22,75.91
2021-09-23,85.09
2021-09-24,98.46
2021-09-25,82.44
2021-09-26,78.39
2021-09-27,85.30
2021-09-28,77.50
2021-09-29,72.17
2021-09-30,73.43
2021-10-01,74.26
2021-10-02,79.35
2021-10-03,80.61
2021-10-04,88.31
2021-10-05,88.34
2021-10-06,88.29
2021-10-07,79.98
2021-10-08,81.96
2021-10-09,84.29
2021-10-10,83.60
2021-10-11,76.60
2021-10-12,76.65
2021-10-13,75.57
2021-10-14,82.22
2021-10-15,77.15
2021-10-16,77.05
2021-10-17,77.09
2021-10-18,75.66
2021-10-19,71.95
2021-10-20,71.17
2021-10-21,73.07
2021-10-22,71.74
2021-10-23,82.50
2021-10-24,90.65
2021-10-25,88.02
2021-10-26,118.82
2021-10-27,112.64
2021-10-28,105.50
2021-10-29,108.84
2021-10-30,101.12
2021-10-31,101.86
2021-11-01,95.30
2021-11-02,95.79
2021-11-03,90.74
2021-11-04,92.43
2021-11-05,87.22
2021-11-06,85.64
2021-11-07,87.21
2021-11-08,95.87
2021-11-09,97.54
2021-11-10,95.16
2021-11-11,83.96
2021-11-12,84.56
2021-11-13,81.28
2021-11-14,86.41
2021-11-15,85.60
2021-11-16,81.73
2021-11-17,74.95
2021-11-18,79.92
2021-11-19,79.30
2021-11-20,77.48
2021-11-21,78.00
2021-11-22,76.44
2021-11-23,82.05
2021-11-24,98.80
2021-11-25,112.70
2021-11-26,111.59
2021-11-27,94.16
2021-11-28,94.39
2021-11-29,98.30
2021-11-30,94.99
2021-12-01,96.75
2021-12-02,95.77
2021-12-03,89.40
2021-12-04,79.84
2021-12-05,64.24
2021-12-06,61.01
2021-12-07,61.36
2021-12-08,68.47
2021-12-09,68.97
2021-12-10,59.70
2021-12-11,54.55
2021-12-12,61.55
2021-12-13,63.44
2021-12-14,55.11
2021-12-15,55.69
2021-12-16,59.75
2021-12-17,62.52
2021-12-18,69.56
2021-12-19,72.39
2021-12-20,66.92
2021-12-21,65.47
2021-12-22,71.10
2021-12-23,76.71
2021-12-24,76.92
2021-12-25,76.17
2021-12-26,87.20
2021-12-27,86.50
2021-12-28,79.17
2021-12-29,70.52
2021-12-30,71.32
2021-12-31,76.07
2022-01-01,80.25
2022-01-02,93.40
2022-01-03,92.15
2022-01-04,104.06
2022-01-05,98.92
2022-01-06,88.04
2022-01-07,86.17
2022-01-08,78.40
2022-01-09,73.24
2022-01-10,73.03
2022-01-11,68.84
2022-01-12,72.83
2022-01-13,77.99
2022-01-14,79.42
2022-01-15,86.06
2022-01-16,85.45
2022-01-17,84.44
2022-01-18,79.74
2022-01-19,76.06
2022-01-20,68.76
2022-01-21,65.16
2022-01-22,51.97
2022-01-23,43.35
2022-01-24,45.42
2022-01-25,41.56
2022-01-26,44.22
2022-01-27,40.80
2022-01-28,38.37
2022-01-29,36.82
2022-01-30,37.06
2022-01-31,39.74
2022-02-01,41.43
2022-02-02,43.66
2022-02-03,39.20
2022-02-04,38.97
2022-02-05,43.61
2022-02-06,44.21
2022-02-07,44.57
2022-02-08,47.04
2022-02-09,44.90
2022-02-10,46.08
2022-02-11,42.32
2022-02-12,38.13
2022-02-13,38.28
2022-02-14,37.16
2022-02-15,39.06
2022-02-16,42.70
2022-02-17,43.01
2022-02-18,39.17
2022-02-19,38.96
2022-02-20,39.91
2022-02-21,38.73
2022-02-22,38.33
2022-02-23,39.56
2022-02-24,39.09
2022-02-25,37.51
2022-02-26,39.63
2022-02-27,42.37
2022-02-28,44.55
2022-03-01,51.09
2022-03-02,52.87
2022-03-03,53.72
2022-03-04,51.30
2022-03-05,46.23
2022-03-06,46.54
2022-03-07,43.03
2022-03-08,41.18
2022-03-09,41.88
2022-03-10,44.75
2022-03-11,42.82
2022-03-12,41.29
2022-03-13,41.73
2022-03-14,40.68
2022-03-15,41.11
2022-03-16,40.91
2022-03-17,43.84
2022-03-18,44.21
2022-03-19,46.61
2022-03-20,48.32
2022-03-21,45.85
2022-03-22,46.87
2022-03-23,48.03
2022-03-24,50.53
2022-03-25,49.91
2022-03-26,47.29
2022-03-27,51.64
2022-03-28,57.31
2022-03-29,55.98
2022-03-30,61.45
2022-03-31,61.64
2022-04-01,57.55
2022-04-02,62.52
2022-04-03,63.82
2022-04-04,65.50
2022-04-05,64.39
2022-04-06,62.55
2022-04-07,55.65
2022-04-08,56.27
2022-04-09,51.65
2022-04-10,54.71
2022-04-11,54.20
2022-04-12,46.86
2022-04-13,47.88
2022-04-14,49.12
2022-04-15,47.59
2022-04-16,47.47
2022-04-17,48.52
2022-04-18,47.58
2022-04-19,46.61
2022-04-20,48.69
2022-04-21,48.38
2022-04-22,45.04
2022-04-23,50.06
2022-04-24,55.05
2022-04-25,57.14
2022-04-26,58.19
2022-04-27,50.41
2022-04-28,53.39
2022-04-29,51.45
2022-04-30,48.80
2022-05-01,44.25
2022-05-02,46.47
2022-05-03,47.84
2022-05-04,49.27
2022-05-05,59.75
2022-05-06,56.23
2022-05-07,53.09
2022-05-08,48.97
2022-05-09,47.15
2022-05-10,34.24
2022-05-11,31.98
2022-05-12,20.37
2022-05-13,15.46
2022-05-14,15.10
2022-05-15,16.32
2022-05-16,17.06
2022-05-17,15.39
2022-05-18,15.97
2022-05-19,14.11
2022-05-20,12.33
2022-05-21,13.19
2022-05-22,14.27
2022-05-23,15.32
2022-05-24,15.62
2022-05-25,15.13
2022-05-26,14.97
2022-05-27,14.81
2022-05-28,14.41
2022-05-29,15.25
2022-05-30,15.78
2022-05-31,17.65
2022-06-01,17.48
2022-06-02,16.21
2022-06-03,16.09
2022-06-04,15.24
2022-06-05,15.54
2022-06-06,16.14
2022-06-07,17.98
2022-06-08,17.86
2022-06-09,19.29
2022-06-10,21.31
2022-06-11,24.36
2022-06-12,30.97
2022-06-13,32.71
2022-06-14,24.57
2022-06-15,25.72
2022-06-16,26.02
2022-06-17,21.96
2022-06-18,21.85
2022-06-19,18.32
2022-06-20,20.15
2022-06-21,21.84
2022-06-22,22.29
2022-06-23,21.52
2022-06-24,25.56
2022-06-25,26.21
2022-06-26,25.50
2022-06-27,23.80
2022-06-28,22.99
2022-06-29,21.55
2022-06-30,21.67
2022-07-01,21.52
2022-07-02,23.85
2022-07-03,24.73
2022-07-04,25.43
2022-07-05,27.15
2022-07-06,29.98
2022-07-07,29.81
2022-07-08,33.34
2022-07-09,32.83
2022-07-10,33.00
2022-07-11,30.90
2022-07-12,27.43
2022-07-13,27.51
2022-07-14,36.59
2022-07-15,40.20
2022-07-16,39.74
2022-07-17,43.75
2022-07-18,41.15
2022-07-19,55.37
2022-07-20,51.88
2022-07-21,48.81
2022-07-22,59.55
2022-07-23,61.20
2022-07-24,60.26
2022-07-25,60.34
2022-07-26,51.58
2022-07-27,43.68
2022-07-28,49.65
2022-07-29,55.28
2022-07-30,52.04
2022-07-31,49.47
2022-08-01,49.24
2022-08-02,48.68
2022-08-03,49.74
2022-08-04,50.61
2022-08-05,51.13
2022-08-06,55.40
2022-08-07,53.59
2022-08-08,54.87
2022-08-09,55.78
2022-08-10,52.39
2022-08-11,61.65
2022-08-12,60.18
2022-08-13,60.34
2022-08-14,68.09
2022-08-15,67.09
2022-08-16,64.70
2022-08-17,59.71
2022-08-18,55.29
2022-08-19,47.57
2022-08-20,42.73
2022-08-21,39.73
2022-08-22,41.35
2022-08-23,43.95
2022-08-24,47.10
2022-08-25,47.05
2022-08-26,54.81
2022-08-27,49.01
2022-08-28,44.58
2022-08-29,39.60
2022-08-30,42.97
2022-08-31,38.99
2022-09-01,37.63
2022-09-02,38.11
2022-09-03,35.92
2022-09-04,35.19
2022-09-05,35.99
2022-09-06,37.84
2022-09-07,30.57
2022-09-08,34.26
2022-09-09,33.24
2022-09-10,35.46
2022-09-11,37.04
2022-09-12,36.24
2022-09-13,34.87
2022-09-14,32.06
2022-09-15,32.42
2022-09-16,30.76
2022-09-17,30.86
2022-09-18,33.69
2022-09-19,30.94
2022-09-20,33.00
2022-09-21,31.74
2022-09-22,29.00
2022-09-23,31.09
2022-09-24,32.10
2022-09-25,31.61
2022-09-26,30.99
2022-09-27,36.70
2022-09-28,39.08
2022-09-29,40.24
2022-09-30,43.48
2022-10-01,51.03
2022-10-02,50.25
2022-10-03,48.88
2022-10-04,51.11
2022-10-05,52.20
2022-10-06,45.60
2022-10-07,54.32
2022-10-08,54.68
2022-10-09,55.38
2022-10-10,56.85
2022-10-11,55.25
2022-10-12,53.21
2022-10-13,48.04
2022-10-14,47.25
2022-10-15,49.05
2022-10-16,48.98
2022-10-17,50.70
2022-10-18,58.07
2022-10-19,59.69
2022-10-20,56.02
2022-10-21,56.38
2022-10-22,53.20
2022-10-23,44.68
2022-10-24,44.84
2022-10-25,42.42
2022-10-26,43.75
2022-10-27,44.54
2022-10-28,39.74
2022-10-29,41.23
2022-10-30,35.42
2022-10-31,34.63
2022-11-01,31.36
2022-11-02,31.49
2022-11-03,30.63
2022-11-04,31.80
2022-11-05,37.29
2022-11-06,35.02
2022-11-07,31.29
2022-11-08,32.69
2022-11-09,23.86
2022-11-10,16.04
2022-11-11,18.02
2022-11-12,17.94
2022-11-13,15.78
2022-11-14,16.46
2022-11-15,16.58
2022-11-16,16.29
2022-11-17,15.22
2022-11-18,13.60
2022-11-19,12.85
2022-11-20,12.43
2022-11-21,11.96
2022-11-22,11.91
2022-11-23,14.09
2022-11-24,15.15
2022-11-25,15.04
2022-11-26,14.35
2022-11-27,15.00
2022-11-28,13.72
2022-11-29,13.69
2022-11-30,13.53
2022-12-01,14.17
2022-12-02,12.66
2022-12-03,13.04
2022-12-04,12.35
2022-12-05,13.20
2022-12-06,13.50
2022-12-07,13.92
2022-12-08,13.05
2022-12-09,13.63
2022-12-10,13.08
2022-12-11,14.06
2022-12-12,13.78
2022-12-13,12.94
2022-12-14,12.99
2022-12-15,12.69
2022-12-16,11.60
2022-12-17,10.26
2022-12-18,10.88
2022-12-19,11.11
2022-12-20,10.12
2022-12-21,10.38
2022-12-22,10.49
2022-12-23,11.48
2022-12-24,11.21
2022-12-25,11.38
2022-12-26,11.61
2022-12-27,12.25
2022-12-28,12.67
2022-12-29,11.83
2022-12-30,12.32
2022-12-31,12.73
2023-01-01,13.13
2023-01-02,13.08
2023-01-03,13.66
2023-01-04,13.91
2023-01-05,13.95
2023-01-06,13.70
2023-01-07,13.60
2023-01-08,13.92
2023-01-09,14.50
2023-01-10,16.32
2023-01-11,16.02
2023-01-12,16.30
2023-01-13,17.86
2023-01-14,21.44
2023-01-15,23.13
2023-01-16,24.25
2023-01-17,25.55
2023-01-18,27.41
2023-01-19,28.27
2023-01-20,29.09
2023-01-21,33.69
2023-01-22,32.75
2023-01-23,37.17
2023-01-24,36.26
2023-01-25,33.83
2023-01-26,35.31
2023-01-27,36.77
2023-01-28,42.78
2023-01-29,40.54
2023-01-30,42.29
2023-01-31,40.58
2023-02-01,42.23
2023-02-02,45.58
2023-02-03,43.09
2023-02-04,48.42
2023-02-05,50.11
2023-02-06,51.17
2023-02-07,50.94
2023-02-08,57.76
2023-02-09,59.77
2023-02-10,56.80
2023-02-11,70.25
2023-02-12,71.11
2023-02-13,69.60
2023-02-14,76.56
2023-02-15,78.69
2023-02-16,83.95
2023-02-17,79.93
2023-02-18,89.75
2023-02-19,93.51
2023-02-20,90.43
2023-02-21,96.19
2023-02-22,89.10
2023-02-23,86.99
2023-02-24,87.13
2023-02-25,82.43
2023-02-26,83.37
2023-02-27,87.90
2023-02-28,88.18
2023-03-01,85.54
2023-03-02,89.36
2023-03-03,86.06
2023-03-04,81.40
2023-03-05,81.39
2023-03-06,85.89
2023-03-07,87.87
2023-03-08,89.20
2023-03-09,82.28
2023-03-10,78.92
2023-03-11,77.48
2023-03-12,60.99
2023-03-13,60.02
2023-03-14,56.29
2023-03-15,55.05
2023-03-16,50.42
2023-03-17,51.58
2023-03-18,55.77
2023-03-19,55.25
2023-03-20,57.27
2023-03-21,53.26
2023-03-22,54.85
2023-03-23,51.51
2023-03-24,52.79
2023-03-25,49.34
2023-03-26,50.40
2023-03-27,51.41
2023-03-28,48.86
2023-03-29,50.27
2023-03-30,51.52
2023-03-31,50.55
2023-04-01,51.30
2023-04-02,51.33
2023-04-03,50.81
2023-04-04,51.27
2023-04-05,55.11
2023-04-06,55.35
2023-04-07,56.31
2023-04-08,57.11
2023-04-09,57.87
2023-04-10,60.65
2023-04-11,75.42
2023-04-12,85.65
2023-04-13,101.28
2023-04-14,109.22
2023-04-15,115.75
2023-04-16,119.64
2023-04-17,127.64
2023-04-18,124.24
2023-04-19,129.67
2023-04-20,118.43
2023-04-21,118.12
2023-04-22,116.05
2023-04-23,120.87
2023-04-24,123.87
2023-04-25,121.36
2023-04-26,122.00
2023-04-27,119.02
2023-04-28,121.70
2023-04-29,119.62
2023-04-30,121.60
2023-05-01,110.67
2023-05-02,96.98
2023-05-03,90.42
2023-05-04,89.88
2023-05-05,80.40
2023-05-06,77.55
2023-05-07,67.04
2023-05-08,61.66
2023-05-09,53.44
2023-05-10,50.88
2023-05-11,48.46
2023-05-12,43.56
2023-05-13,42.25
2023-05-14,40.71
2023-05-15,40.33
2023-05-16,40.10
2023-05-17,40.39
2023-05-18,40.61
2023-05-19,40.21
2023-05-20,40.53
2023-05-21,41.20
2023-05-22,41.75
2023-05-23,42.42
2023-05-24,43.00
2023-05-25,41.30
2023-05-26,41.23
2023-05-27,43.01
2023-05-28,43.28
2023-05-29,43.74
2023-05-30,43.31
2023-05-31,43.97
2023-06-01,44.96
2023-06-02,46.59
2023-06-03,51.32
2023-06-04,53.95
2023-06-05,57.13
2023-06-06,56.86
2023-06-07,62.12
2023-06-08,64.24
2023-06-09,69.36
2023-06-10,75.50
2023-06-11,72.26
2023-06-12,80.59
2023-06-13,82.30
2023-06-14,88.87
2023-06-15,83.09
2023-06-16,77.50
2023-06-17,77.83
2023-06-18,77.42
2023-06-19,78.24
2023-06-20,77.78
2023-06-21,79.78
2023-06-22,80.41
2023-06-23,77.16
2023-06-24,79.08
2023-06-25,76.58
2023-06-26,80.00
2023-06-27,75.97
2023-06-28,76.96
2023-06-29,72.95
2023-06-30,77.93
2023-07-01,81.93
2023-07-02,83.79
2023-07-03,82.64
2023-07-04,83.97
2023-07-05,85.18
2023-07-06,82.98
2023-07-07,77.24
2023-07-08,83.50
2023-07-09,83.33
2023-07-10,85.98
2023-07-11,90.06
2023-07-12,88.44
2023-07-13,88.30
2023-07-14,94.83
2023-07-15,92.11
2023-07-16,102.94
2023-07-17,104.49
2023-07-18,102.85
2023-07-19,98.65
2023-07-20,98.46
2023-07-21,101.28
2023-07-22,101.18
2023-07-23,100.29
2023-07-24,103.43
2023-07-25,99.90
2023-07-26,99.62
2023-07-27,101.23
2023-07-28,101.83
2023-07-29,102.67
2023-07-30,105.58
2023-07-31,87.67
2023-08-01,76.23
2023-08-02,76.13
2023-08-03,72.36
2023-08-04,73.55
2023-08-05,77.63
2023-08-06,80.60
2023-08-07,79.97
2023-08-08,73.86
2023-08-09,71.41
2023-08-10,73.95
2023-08-11,73.68
2023-08-12,72.94
2023-08-13,73.27
2023-08-14,74.83
2023-08-15,75.75
2023-08-16,72.30
2023-08-17,71.65
2023-08-18,64.01
2023-08-19,63.89
2023-08-20,65.54
2023-08-21,66.39
2023-08-22,64.54
2023-08-23,63.41
2023-08-24,63.16
2023-08-25,62.08
2023-08-26,62.78
2023-08-27,63.32
2023-08-28,65.30
2023-08-29,69.78
2023-08-30,70.06
2023-08-31,72.26
2023-09-01,72.04
2023-09-02,70.81
2023-09-03,71.01
2023-09-04,72.08
2023-09-05,72.80
2023-09-06,74.64
2023-09-07,84.82
2023-09-08,85.90
2023-09-09,85.50
2023-09-10,87.05
2023-09-11,85.11
2023-09-12,80.69
2023-09-13,78.31
2023-09-14,81.77
2023-09-15,82.00
2023-09-16,85.57
2023-09-17,90.51
2023-09-18,92.89
2023-09-19,88.55
2023-09-20,89.29
2023-09-21,88.99
2023-09-22,87.94
2023-09-23,95.95
2023-09-24,93.06
2023-09-25,99.61
2023-09-26,99.74
2023-09-27,98.55
2023-09-28,96.66
2023-09-29,100.69
2023-09-30,94.69
2023-10-01,96.59
2023-10-02,97.27
2023-10-03,80.94
2023-10-04,76.33
2023-10-05,74.49
2023-10-06,68.80
2023-10-07,69.45
2023-10-08,68.64
2023-10-09,67.21
2023-10-10,61.81
2023-10-11,57.43
2023-10-12,56.86
2023-10-13,53.35
2023-10-14,53.81
2023-10-15,53.00
2023-10-16,52.42
2023-10-17,44.08
2023-10-18,42.33
2023-10-19,40.86
2023-10-20,39.81
2023-10-21,39.56
2023-10-22,41.36
2023-10-23,42.70
2023-10-24,42.49
2023-10-25,40.21
2023-10-26,37.94
2023-10-27,37.30
2023-10-28,36.34
2023-10-29,37.54
2023-10-30,39.21
2023-10-31,39.21
2023-11-01,38.42
2023-11-02,42.47
2023-11-03,40.62
2023-11-04,41.52
2023-11-05,43.39
2023-11-06,42.66
2023-11-07,42.38
2023-11-08,41.60
2023-11-09,41.86
2023-11-10,37.62
2023-11-11,38.73
2023-11-12,40.44
2023-11-13,41.43
2023-11-14,37.64
2023-11-15,36.36
2023-11-16,42.36
2023-11-17,38.66
2023-11-18,38.86