date,supply_side_fees
2020-10-30,0.00
2020-10-31,12870.03
2020-11-01,8653.89
2020-11-02,13630.26
2020-11-03,17909.25
2020-11-04,16600.95
2020-11-05,15413.28
2020-11-06,32010.31
2020-11-07,22586.74
2020-11-08,21973.61
2020-11-09,13391.66
2020-11-10,24645.02
2020-11-11,14716.90
2020-11-12,15149.00
2020-11-13,20083.82
2020-11-14,23180.99
2020-11-15,108455.88
2020-11-16,20140.49
2020-11-17,25593.38
2020-11-18,30493.59
2020-11-19,35805.36
2020-11-20,28393.20
2020-11-21,25583.61
2020-11-22,22609.64
2020-11-23,27289.13
2020-11-24,26080.24
2020-11-25,19523.56
2020-11-26,14148.26
2020-11-27,48956.78
2020-11-28,15858.07
2020-11-29,15102.59
2020-11-30,10394.46
2020-12-01,49993.19
2020-12-02,23412.30
2020-12-03,20997.11
2020-12-04,20024.04
2020-12-05,19773.06
2020-12-06,25199.30
2020-12-07,14909.54
2020-12-08,19260.88
2020-12-09,17025.01
2020-12-10,20863.70
2020-12-11,26913.81
2020-12-12,15436.20
2020-12-13,26820.97
2020-12-14,13615.12
2020-12-15,15345.78
2020-12-16,14009.37
2020-12-17,23340.17
2020-12-18,22215.96
2020-12-19,39497.39
2020-12-20,15664.32
2020-12-21,14398.53
2020-12-22,26108.35
2020-12-23,50521.97
2020-12-24,31645.20
2020-12-25,29973.88
2020-12-26,21410.52
2020-12-27,28446.53
2020-12-28,40957.96
2020-12-29,36970.55
2020-12-30,26502.33
2020-12-31,71287.96
2021-01-01,41190.17
2021-01-02,34708.45
2021-01-03,123467.64
2021-01-04,50627.66
2021-01-05,76945.87
2021-01-06,46102.16
2021-01-07,63342.41
2021-01-08,59407.36
2021-01-09,58889.46
2021-01-10,44955.97
2021-01-11,44381.59
2021-01-12,71482.06
2021-01-13,54105.01
2021-01-14,39514.11
2021-01-15,73267.35
2021-01-16,57700.01
2021-01-17,47363.23
2021-01-18,42184.80
2021-01-19,49618.66
2021-01-20,69912.06
2021-01-21,53704.43
2021-01-22,69391.78
2021-01-23,122452.16
2021-01-24,60398.96
2021-01-25,61242.88
2021-01-26,83401.32
2021-01-27,74390.91
2021-01-28,64460.87
2021-01-29,61627.30
2021-01-30,92575.55
2021-01-31,45748.60
2021-02-01,59611.04
2021-02-02,63865.58
2021-02-03,72026.26
2021-02-04,58367.71
2021-02-05,76363.37
2021-02-06,78582.46
2021-02-07,77256.19
2021-02-08,81633.97
2021-02-09,98250.06
2021-02-10,92620.01
2021-02-11,111417.96
2021-02-12,125241.86
2021-02-13,75335.18
2021-02-14,86673.16
2021-02-15,95198.20
2021-02-16,82566.31
2021-02-17,83001.41
2021-02-18,106569.01
2021-02-19,107596.97
2021-02-20,104953.63
2021-02-21,124494.21
2021-02-22,103186.30
2021-02-23,134070.11
2021-02-24,130244.42
2021-02-25,98331.38
2021-02-26,210756.60
2021-02-27,116002.35
2021-02-28,96018.58
2021-03-01,144313.23
2021-03-02,118454.45
2021-03-03,124173.92
2021-03-04,157497.53
2021-03-05,136326.19
2021-03-06,129312.61
2021-03-07,119570.41
2021-03-08,281516.24
2021-03-09,125678.24
2021-03-10,143673.69
2021-03-11,117607.05
2021-03-12,120422.39
2021-03-13,170714.46
2021-03-14,116237.19
2021-03-15,105853.22
2021-03-16,109479.53
2021-03-17,102344.17
2021-03-18,86614.44
2021-03-19,174146.39
2021-03-20,103479.10
2021-03-21,93309.19
2021-03-22,109435.40
2021-03-23,114372.28
2021-03-24,103456.82
2021-03-25,187831.44
2021-03-26,110766.62
2021-03-27,140868.18
2021-03-28,100619.35
2021-03-29,102115.46
2021-03-30,122508.23
2021-03-31,120030.29
2021-04-01,144918.52
2021-04-02,131677.87
2021-04-03,138017.56
2021-04-04,174868.08
2021-04-05,119670.80
2021-04-06,134819.81
2021-04-07,100206.79
2021-04-08,201269.23
2021-04-09,170513.83
2021-04-10,167728.67
2021-04-11,189994.28
2021-04-12,142425.18
2021-04-13,190417.94
2021-04-14,285691.33
2021-04-15,200790.11
2021-04-16,159005.09
2021-04-17,209623.22
2021-04-18,143559.90
2021-04-19,219136.79
2021-04-20,383003.52
2021-04-21,218457.30
2021-04-22,164829.63
2021-04-23,182840.69
2021-04-24,214864.29
2021-04-25,157555.16
2021-04-26,143236.03
2021-04-27,223276.27
2021-04-28,263435.52
2021-04-29,192292.21
2021-04-30,212708.68
2021-05-01,95319.86
2021-05-02,95963.19
2021-05-03,86643.84
2021-05-04,160315.73
2021-05-05,186441.47
2021-05-06,123278.77
2021-05-07,172328.76
2021-05-08,166893.75
2021-05-09,114711.70
2021-05-10,111105.46
2021-05-11,120797.59
2021-05-12,141908.28
2021-05-13,160531.92
2021-05-14,215478.37
2021-05-15,250868.26
2021-05-16,128574.43
2021-05-17,190080.40
2021-05-18,225709.07
2021-05-19,155319.04
2021-05-20,696891.93
2021-05-21,371600.04
2021-05-22,296275.05
2021-05-23,156446.44
2021-05-24,485265.05
2021-05-25,223159.35
2021-05-26,168554.48
2021-05-27,207704.41
2021-05-28,244381.01
2021-05-29,135492.26
2021-05-30,160542.16
2021-05-31,170776.07
2021-06-01,120812.86
2021-06-02,141557.64
2021-06-03,264383.11
2021-06-04,136796.36
2021-06-05,127579.83
2021-06-06,126522.55
2021-06-07,85124.71
2021-06-08,100847.84
2021-06-09,155059.85
2021-06-10,193434.99
2021-06-11,164827.34
2021-06-12,188835.30
2021-06-13,107571.16
2021-06-14,91442.17
2021-06-15,178428.88
2021-06-16,155536.34
2021-06-17,245600.26
2021-06-18,252168.39
2021-06-19,178341.95
2021-06-20,120050.97
2021-06-21,98860.27
2021-06-22,319270.89
2021-06-23,260548.82
2021-06-24,231788.89
2021-06-25,137661.07
2021-06-26,122799.59
2021-06-27,62634.51
2021-06-28,90472.24
2021-06-29,118772.13
2021-06-30,224374.91
2021-07-01,114708.24
2021-07-02,188882.79
2021-07-03,97180.36
2021-07-04,105264.93
2021-07-05,53763.45
2021-07-06,62095.26
2021-07-07,166140.23
2021-07-08,78802.12
2021-07-09,120229.18
2021-07-10,95490.95
2021-07-11,64853.59
2021-07-12,47342.38
2021-07-13,97039.34
2021-07-14,112669.12
2021-07-15,137467.62
2021-07-16,128644.07
2021-07-17,99886.43
2021-07-18,61089.85
2021-07-19,46655.44
2021-07-20,107420.00
2021-07-21,140779.55
2021-07-22,174207.20
2021-07-23,82560.32
2021-07-24,71699.88
2021-07-25,86749.12
2021-07-26,74204.21
2021-07-27,129104.32
2021-07-28,66672.17
2021-07-29,144745.06
2021-07-30,95946.60
2021-07-31,95492.35
2021-08-01,79032.74
2021-08-02,136514.71
2021-08-03,94833.45
2021-08-04,264979.67
2021-08-05,138173.07
2021-08-06,127716.24
2021-08-07,170512.94
2021-08-08,145212.35
2021-08-09,112701.44
2021-08-10,125732.81
2021-08-11,169736.30
2021-08-12,170045.16
2021-08-13,146489.47
2021-08-14,120469.13
2021-08-15,93146.90
2021-08-16,75435.74
2021-08-17,159671.12
2021-08-18,118646.04
2021-08-19,246683.80
2021-08-20,110270.30
2021-08-21,145464.99
2021-08-22,144286.39
2021-08-23,84020.99
2021-08-24,111286.46
2021-08-25,234030.22
2021-08-26,97704.43
2021-08-27,93674.61
2021-08-28,98380.83
2021-08-29,63211.40
2021-08-30,66877.38
2021-08-31,104122.47
2021-09-01,115930.11
2021-09-02,108941.86
2021-09-03,141664.20
2021-09-04,93372.08
2021-09-05,63616.74
2021-09-06,81319.04
2021-09-07,90617.70
2021-09-08,223888.04
2021-09-09,163968.76
2021-09-10,177252.35
2021-09-11,158307.46
2021-09-12,160102.00
2021-09-13,146224.20
2021-09-14,104931.97
2021-09-15,119300.17
2021-09-16,196269.83
2021-09-17,174361.53
2021-09-18,102680.43
2021-09-19,67824.89
2021-09-20,94708.53
2021-09-21,219106.48
2021-09-22,214916.10
2021-09-23,128090.72
2021-09-24,177953.46
2021-09-25,234736.87
2021-09-26,128793.69
2021-09-27,139788.20
2021-09-28,156133.74
2021-09-29,142129.34
2021-09-30,104348.69
2021-10-01,153899.64
2021-10-02,174882.76
2021-10-03,106919.03
2021-10-04,140717.06
2021-10-05,135125.56
2021-10-06,171235.82
2021-10-07,235251.23
2021-10-08,227364.32
2021-10-09,238952.43
2021-10-10,169704.67
2021-10-11,213595.76
2021-10-12,159440.55
2021-10-13,194096.54
2021-10-14,190263.57
2021-10-15,277370.09
2021-10-16,259182.29
2021-10-17,185724.74
2021-10-18,120888.27
2021-10-19,180110.56
2021-10-20,172465.30
2021-10-21,286719.35
2021-10-22,224054.29
2021-10-23,228347.41
2021-10-24,155747.76
2021-10-25,141249.75
2021-10-26,201842.57
2021-10-27,215613.58
2021-10-28,345245.77
2021-10-29,330471.70
2021-10-30,406676.18
2021-10-31,209087.06
2021-11-01,185929.25
2021-11-02,153723.03
2021-11-03,213515.48
2021-11-04,164586.26
2021-11-05,218411.14
2021-11-06,222252.24
2021-11-07,147863.30
2021-11-08,204020.55
2021-11-09,257967.85
2021-11-10,205483.70
2021-11-11,326065.85
2021-11-12,302489.00
2021-11-13,201765.15
2021-11-14,236092.42
2021-11-15,133970.99
2021-11-16,176264.06
2021-11-17,300758.09
2021-11-18,318462.21
2021-11-19,278318.17
2021-11-20,246898.47
2021-11-21,161481.28
2021-11-22,162990.74
2021-11-23,269560.40
2021-11-24,170602.62
2021-11-25,258786.40
2021-11-26,342570.01
2021-11-27,295467.75
2021-11-28,140194.83
2021-11-29,200184.42
2021-11-30,211629.07
2021-12-01,350735.51
2021-12-02,350602.59
2021-12-03,375216.11
2021-12-04,384476.59
2021-12-05,650717.86
2021-12-06,316822.58
2021-12-07,401590.31
2021-12-08,214194.42
2021-12-09,243182.37
2021-12-10,349764.63
2021-12-11,297436.94
2021-12-12,200700.54
2021-12-13,155248.28
2021-12-14,262489.35
2021-12-15,224126.97
2021-12-16,330486.94
2021-12-17,209339.59
2021-12-18,313506.73
2021-12-19,384302.82
2021-12-20,216166.50
2021-12-21,308891.33
2021-12-22,406452.71
2021-12-23,346614.03
2021-12-24,439569.30
2021-12-25,304254.63
2021-12-26,238869.42
2021-12-27,177129.00
2021-12-28,242676.87
2021-12-29,255235.37
2021-12-30,277723.74
2021-12-31,264685.48
2022-01-01,263745.35
2022-01-02,400830.50
2022-01-03,192204.88
2022-01-04,251901.47
2022-01-05,234816.97
2022-01-06,382755.73
2022-01-07,339066.94
2022-01-08,404317.57
2022-01-09,212148.37
2022-01-10,187313.57
2022-01-11,259556.33
2022-01-12,260934.61
2022-01-13,205122.09
2022-01-14,263860.84
2022-01-15,190525.35
2022-01-16,202837.77
2022-01-17,163998.78
2022-01-18,238554.80
2022-01-19,231734.51
2022-01-20,455668.48
2022-01-21,370184.14
2022-01-22,707269.92
2022-01-23,845068.82
2022-01-24,264102.42
2022-01-25,507680.49
2022-01-26,280090.56
2022-01-27,428754.27
2022-01-28,611769.33
2022-01-29,1146512.32
2022-01-30,468850.68
2022-01-31,227657.79
2022-02-01,229862.20
2022-02-02,236014.14
2022-02-03,235948.44
2022-02-04,250369.45
2022-02-05,263744.26
2022-02-06,194385.09
2022-02-07,160265.52
2022-02-08,254629.20
2022-02-09,224509.17
2022-02-10,216338.19
2022-02-11,200557.90
2022-02-12,212004.26
2022-02-13,132148.60
2022-02-14,123313.75
2022-02-15,202994.75
2022-02-16,157628.90
2022-02-17,233820.77
2022-02-18,246742.78
2022-02-19,165539.33
2022-02-20,116271.79
2022-02-21,120418.15
2022-02-22,180294.94
2022-02-23,210273.16
2022-02-24,249637.60
2022-02-25,419731.14
2022-02-26,356492.40
2022-02-27,177432.16
2022-02-28,213280.25
2022-03-01,256539.79
2022-03-02,290802.95
2022-03-03,370108.65
2022-03-04,199576.93
2022-03-05,201969.33
2022-03-06,199668.21
2022-03-07,226060.68
2022-03-08,242586.88
2022-03-09,189460.47
2022-03-10,211182.38
2022-03-11,162542.49
2022-03-12,212214.03
2022-03-13,177965.93
2022-03-14,174334.13
2022-03-15,159318.15
2022-03-16,156401.63
2022-03-17,202840.07
2022-03-18,205279.20
2022-03-19,244789.85
2022-03-20,121199.40
2022-03-21,105260.51
2022-03-22,134690.88
2022-03-23,150419.66
2022-03-24,174908.61
2022-03-25,283589.15
2022-03-26,332297.65
2022-03-27,188503.33
2022-03-28,210315.84
2022-03-29,239790.25
2022-03-30,184725.84
2022-03-31,241438.05
2022-04-01,297920.67
2022-04-02,248100.94
2022-04-03,253060.39
2022-04-04,172750.28
2022-04-05,226901.06
2022-04-06,197107.15
2022-04-07,240864.97
2022-04-08,227371.77
2022-04-09,232564.34
2022-04-10,140131.60
2022-04-11,133105.20
2022-04-12,391773.75
2022-04-13,215608.79
2022-04-14,193600.24
2022-04-15,168725.74
2022-04-16,207932.13
2022-04-17,103939.63
2022-04-18,297768.50
2022-04-19,175777.24
2022-04-20,180458.61
2022-04-21,225747.06
2022-04-22,229629.39
2022-04-23,310477.62
2022-04-24,132968.02
2022-04-25,122417.39
2022-04-26,193405.21
2022-04-27,182211.62
2022-04-28,188117.36
2022-04-29,182591.52
2022-04-30,140120.17
2022-05-01,231604.33
2022-05-02,157447.81
2022-05-03,176788.69
2022-05-04,134951.61
2022-05-05,199645.89
2022-05-06,219279.45
2022-05-07,186752.71
2022-05-08,535207.05
2022-05-09,799478.41
2022-05-10,1038647.64
2022-05-11,900678.17
2022-05-12,1785610.96
2022-05-13,1902249.16
2022-05-14,505437.60
2022-05-15,177974.60
2022-05-16,354601.30
2022-05-17,159328.18
2022-05-18,113725.76
2022-05-19,125460.49
2022-05-20,177311.55
2022-05-21,121595.50
2022-05-22,123556.06
2022-05-23,64275.38
2022-05-24,91232.11
2022-05-25,88630.20
2022-05-26,103512.89
2022-05-27,117253.86
2022-05-28,109064.57
2022-05-29,49181.09
2022-05-30,37630.48
2022-05-31,87023.07
2022-06-01,277531.79
2022-06-02,66777.97
2022-06-03,70605.34
2022-06-04,61892.75
2022-06-05,65827.68
2022-06-06,66008.54
2022-06-07,70417.81
2022-06-08,154002.91
2022-06-09,125022.94
2022-06-10,68082.87
2022-06-11,186278.50
2022-06-12,150430.96
2022-06-13,125915.04
2022-06-14,503733.12
2022-06-15,307986.40
2022-06-16,286058.95
2022-06-17,211632.86
2022-06-18,144186.12
2022-06-19,392517.61
2022-06-20,150774.32
2022-06-21,140918.99
2022-06-22,105479.61
2022-06-23,89775.93
2022-06-24,98231.66
2022-06-25,105327.64
2022-06-26,60292.13
2022-06-27,66832.85
2022-06-28,63129.88
2022-06-29,83021.15
2022-06-30,106051.74
2022-07-01,93596.29
2022-07-02,122777.75
2022-07-03,59325.92
2022-07-04,40867.08
2022-07-05,144626.36
2022-07-06,91179.36
2022-07-07,93981.48
2022-07-08,65165.73
2022-07-09,64035.77
2022-07-10,34400.82
2022-07-11,188684.13
2022-07-12,367744.54
2022-07-13,59813.43
2022-07-14,69439.50
2022-07-15,380683.60
2022-07-16,90897.05
2022-07-17,73710.28
2022-07-18,69812.55
2022-07-19,105859.67
2022-07-20,118403.67
2022-07-21,105793.28
2022-07-22,81801.96
2022-07-23,89243.32
2022-07-24,53733.69
2022-07-25,58447.73
2022-07-26,79188.92
2022-07-27,550532.17
2022-07-28,89565.46
2022-07-29,227026.17
2022-07-30,81343.71
2022-07-31,63882.32
2022-08-01,45656.35
2022-08-02,61176.66
2022-08-03,70469.07
2022-08-04,47545.61
2022-08-05,54622.36
2022-08-06,67415.31
2022-08-07,33940.72
2022-08-08,33686.91
2022-08-09,49504.19
2022-08-10,66273.98
2022-08-11,69919.16
2022-08-12,82292.68
2022-08-13,184302.22
2022-08-14,52662.28
2022-08-15,41606.83
2022-08-16,66826.71
2022-08-17,199977.37
2022-08-18,69353.92
2022-08-19,408397.49
2022-08-20,269717.78
2022-08-21,150220.45
2022-08-22,57223.37
2022-08-23,69924.77
2022-08-24,73679.37
2022-08-25,64505.15
2022-08-26,71576.93
2022-08-27,80518.51
2022-08-28,509172.06
2022-08-29,306089.24
2022-08-30,57268.95
2022-08-31,328272.01
2022-09-01,503798.12
2022-09-02,51711.10
2022-09-03,45632.39
2022-09-04,62689.63
2022-09-05,47406.93
2022-09-06,40032.79
2022-09-07,527031.68
2022-09-08,67508.00
2022-09-09,51099.31
2022-09-10,70042.12
2022-09-11,39087.49
2022-09-12,40522.28
2022-09-13,60864.39
2022-09-14,74360.74
2022-09-15,88924.37
2022-09-16,350219.01
2022-09-17,63587.53
2022-09-18,139726.43
2022-09-19,47279.32
2022-09-20,58519.89
2022-09-21,51667.71
2022-09-22,64622.02
2022-09-23,46211.69
2022-09-24,51051.27
2022-09-25,26490.79
2022-09-26,32767.32
2022-09-27,39690.58
2022-09-28,55615.44
2022-09-29,47341.25
2022-09-30,51178.67
2022-10-01,48429.71
2022-10-02,24873.78
2022-10-03,22390.09
2022-10-04,60201.21
2022-10-05,33832.05
2022-10-06,360114.08
2022-10-07,58590.56
2022-10-08,39698.17
2022-10-09,16111.73
2022-10-10,14467.14
2022-10-11,28470.48
2022-10-12,31608.78
2022-10-13,295134.00
2022-10-14,55777.35
2022-10-15,35015.48
2022-10-16,335089.72
2022-10-17,16517.72
2022-10-18,33909.46
2022-10-19,40208.81
2022-10-20,46044.21
2022-10-21,32375.02
2022-10-22,303045.01
2022-10-23,431586.30
2022-10-24,170304.26
2022-10-25,42615.65
2022-10-26,60761.18
2022-10-27,59044.94
2022-10-28,322346.46
2022-10-29,41647.34
2022-10-30,514931.20
2022-10-31,31490.01
2022-11-01,296999.96
2022-11-02,38958.50
2022-11-03,46662.61
2022-11-04,47641.38
2022-11-05,238516.13
2022-11-06,194400.84
2022-11-07,311877.43
2022-11-08,54105.05
2022-11-09,229392.84
2022-11-10,289254.04
2022-11-11,577358.05
2022-11-12,134033.02
2022-11-13,204897.89
2022-11-14,67056.02
2022-11-15,106986.26
2022-11-16,83204.91
2022-11-17,226920.26
2022-11-18,316014.20
2022-11-19,411159.86
2022-11-20,77729.11
2022-11-21,183852.23
2022-11-22,334396.66
2022-11-23,564927.56
2022-11-24,99382.15
2022-11-25,118625.59
2022-11-26,268717.75
2022-11-27,243705.53
2022-11-28,462198.37
2022-11-29,139491.71
2022-11-30,277534.47
2022-12-01,99901.72
2022-12-02,451367.68
2022-12-03,35656.29
2022-12-04,189870.18
2022-12-05,152139.79
2022-12-06,78348.54
2022-12-07,153744.94
2022-12-08,218640.40
2022-12-09,98348.71
2022-12-10,322443.30
2022-12-11,52870.15
2022-12-12,180083.28
2022-12-13,477083.79
2022-12-14,404763.81
2022-12-15,214126.07
2022-12-16,353554.31
2022-12-17,212818.24
2022-12-18,127340.74
2022-12-19,123877.58
2022-12-20,291061.60
2022-12-21,185792.82
2022-12-22,86585.64
2022-12-23,104863.27
2022-12-24,259962.03
2022-12-25,13725.03
2022-12-26,101835.83
2022-12-27,89823.65
2022-12-28,175539.10
2022-12-29,328766.52
2022-12-30,61374.33
2022-12-31,102550.16
2023-01-01,228908.21
2023-01-02,97962.05
2023-01-03,16765.35
2023-01-04,27423.31
2023-01-05,295004.82
2023-01-06,148325.15
2023-01-07,262182.87
2023-01-08,48443.89
2023-01-09,285504.36
2023-01-10,49618.42
2023-01-11,354871.65
2023-01-12,527918.49
2023-01-13,59833.44
2023-01-14,57169.35
2023-01-15,72812.75
2023-01-16,72945.29
2023-01-17,64986.16
2023-01-18,63251.69
2023-01-19,79848.74
2023-01-20,61034.76
2023-01-21,55688.80
2023-01-22,65408.60
2023-01-23,59119.39
2023-01-24,84804.82
2023-01-25,83666.87
2023-01-26,83605.50
2023-01-27,68963.75
2023-01-28,58108.02
2023-01-29,48596.38
2023-01-30,25842.92
2023-01-31,41181.85
2023-02-01,53297.94
2023-02-02,54151.26
2023-02-03,62503.86
2023-02-04,71283.02
2023-02-05,33226.63
2023-02-06,39706.36
2023-02-07,49258.31
2023-02-08,66471.32
2023-02-09,69316.70
2023-02-10,85102.57
2023-02-11,63929.77
2023-02-12,35931.88
2023-02-13,31951.28
2023-02-14,141620.26
2023-02-15,63175.57
2023-02-16,55761.46
2023-02-17,77794.49
2023-02-18,52261.02
2023-02-19,41701.13
2023-02-20,36002.10
2023-02-21,45436.69
2023-02-22,43876.54
2023-02-23,43440.15
2023-02-24,43286.37
2023-02-25,43644.86
2023-02-26,30775.09
2023-02-27,24262.62
2023-02-28,38653.95
2023-03-01,39423.42
2023-03-02,36785.86
2023-03-03,45875.69
2023-03-04,47524.76
2023-03-05,21481.78
2023-03-06,24093.79
2023-03-07,31591.29
2023-03-08,54644.90
2023-03-09,30916.63
2023-03-10,47174.69
2023-03-11,175511.20
2023-03-12,445765.48
2023-03-13,269558.38
2023-03-14,278263.35
2023-03-15,117776.98
2023-03-16,102047.30
2023-03-17,71458.45
2023-03-18,91407.28
2023-03-19,65707.00
2023-03-20,56565.73
2023-03-21,72624.57
2023-03-22,45471.92
2023-03-23,60717.22
2023-03-24,49036.73
2023-03-25,39824.30
2023-03-26,29583.43
2023-03-27,26132.89
2023-03-28,38646.41
2023-03-29,36772.91
2023-03-30,32060.98
2023-03-31,31199.13
2023-04-01,39709.35
2023-04-02,20511.29
2023-04-03,22097.81
2023-04-04,35392.19
2023-04-05,39440.41
2023-04-06,37225.86
2023-04-07,30560.61
2023-04-08,20388.36
2023-04-09,25938.90
2023-04-10,37969.48
2023-04-11,28620.62
2023-04-12,36771.30
2023-04-13,42588.20
2023-04-14,62335.71
2023-04-15,56337.03
2023-04-16,28894.40
2023-04-17,27951.31
2023-04-18,39183.89
2023-04-19,33643.30
2023-04-20,42578.69
2023-04-21,37335.42
2023-04-22,51314.28
2023-04-23,24640.45
2023-04-24,23342.92
2023-04-25,28972.03
2023-04-26,36726.55
2023-04-27,39459.31
2023-04-28,43648.29
2023-04-29,27682.47
2023-04-30,24407.62
2023-05-01,114371.37
2023-05-02,140398.77
2023-05-03,142342.49
2023-05-04,145465.44
2023-05-05,138387.94
2023-05-06,140400.15
2023-05-07,191423.52
2023-05-08,153288.48
2023-05-09,179453.13
2023-05-10,150531.02
2023-05-11,157248.07
2023-05-12,172526.59
2023-05-13,168725.32
2023-05-14,119417.56
2023-05-15,102389.50
2023-05-16,108800.85
2023-05-17,26830.91
2023-05-18,30922.07
2023-05-19,29166.63
2023-05-20,25060.39
2023-05-21,16275.25
2023-05-22,19139.87
2023-05-23,22629.60
2023-05-24,32793.57
2023-05-25,30781.89
2023-05-26,28439.46
2023-05-27,23075.52
2023-05-28,20681.07
2023-05-29,24948.69
2023-05-30,23030.04
2023-05-31,29134.03
2023-06-01,30025.07
2023-06-02,28115.11
2023-06-03,32876.63
2023-06-04,20243.03
2023-06-05,20652.36
2023-06-06,36470.05
2023-06-07,39925.61
2023-06-08,32009.52
2023-06-09,35461.90
2023-06-10,30691.97
2023-06-11,75780.89
2023-06-12,31591.08
2023-06-13,43072.17
2023-06-14,42996.69
2023-06-15,51885.09
2023-06-16,157793.43
2023-06-17,53149.83
2023-06-18,30590.20
2023-06-19,20020.05
2023-06-20,34829.47
2023-06-21,49151.81
2023-06-22,56898.84
2023-06-23,47075.62
2023-06-24,40006.27
2023-06-25,30565.37
2023-06-26,29049.24
2023-06-27,40350.61
2023-06-28,34046.33
2023-06-29,31126.11
2023-06-30,38384.58
2023-07-01,53290.38
2023-07-02,27014.57
2023-07-03,25591.93
2023-07-04,33060.33
2023-07-05,42263.38
2023-07-06,28808.97
2023-07-07,42477.81
2023-07-08,33104.99
2023-07-09,21964.51
2023-07-10,21427.68
2023-07-11,33467.01
2023-07-12,32777.35
2023-07-13,32430.79
2023-07-14,45628.92
2023-07-15,52375.44
2023-07-16,30977.46
2023-07-17,23137.90
2023-07-18,46212.37
2023-07-19,30843.89
2023-07-20,29837.94
2023-07-21,27968.93
2023-07-22,36472.45
2023-07-23,31681.07
2023-07-24,18046.88
2023-07-25,25303.79
2023-07-26,28875.19
2023-07-27,29753.79
2023-07-28,25793.28
2023-07-29,24577.83
2023-07-30,22281.89
2023-07-31,70495.51
2023-08-01,75860.72
2023-08-02,103779.58
2023-08-03,31390.61
2023-08-04,23007.53
2023-08-05,28399.93
2023-08-06,17515.38
2023-08-07,23475.32
2023-08-08,112491.52
2023-08-09,36212.67
2023-08-10,21084.43
2023-08-11,23479.88
2023-08-12,20415.35
2023-08-13,18852.28
2023-08-14,17195.41
2023-08-15,24647.06
2023-08-16,27490.46
2023-08-17,28409.16
2023-08-18,51913.49
2023-08-19,36776.09
2023-08-20,18625.04
2023-08-21,13797.65
2023-08-22,19405.26
2023-08-23,26095.32
2023-08-24,17075.14
2023-08-25,15647.35
2023-08-26,20131.27
2023-08-27,13065.58
2023-08-28,10066.25
2023-08-29,15195.83
2023-08-30,90564.97
2023-08-31,29825.95
2023-09-01,117075.67
2023-09-02,21479.25
2023-09-03,16223.22
2023-09-04,11375.29
2023-09-05,13619.66
2023-09-06,15575.62
2023-09-07,26277.38
2023-09-08,20838.03
2023-09-09,15958.46
2023-09-10,12291.83
2023-09-11,12002.39
2023-09-12,23557.85
2023-09-13,28353.92
2023-09-14,21044.35
2023-09-15,43067.70
2023-09-16,30396.18
2023-09-17,14670.87
2023-09-18,11893.06
2023-09-19,60592.14
2023-09-20,44396.43
2023-09-21,17237.23
2023-09-22,56421.07
2023-09-23,24172.93
2023-09-24,14071.87
2023-09-25,34288.79
2023-09-26,22229.07
2023-09-27,23751.47
2023-09-28,26183.01
2023-09-29,35323.31
2023-09-30,89099.26
2023-10-01,55391.28
2023-10-02,56606.64
2023-10-03,113082.52
2023-10-04,40708.99
2023-10-05,33244.65
2023-10-06,68815.40
2023-10-07,40376.10
2023-10-08,27834.22
2023-10-09,50113.27
2023-10-10,54281.39
2023-10-11,67074.78
2023-10-12,31293.35
2023-10-13,78198.17
2023-10-14,66860.36
2023-10-15,41352.07
2023-10-16,46868.81
2023-10-17,292546.29
2023-10-18,23161.95
2023-10-19,92002.44
2023-10-20,41841.24
2023-10-21,60162.68
2023-10-22,44814.91
2023-10-23,22812.56
2023-10-24,117023.98
2023-10-25,217818.92
2023-10-26,202030.35
2023-10-27,67243.72
2023-10-28,25695.87
2023-10-29,24705.65
2023-10-30,73020.96
2023-10-31,33726.24
2023-11-01,60363.63
2023-11-02,93896.36
2023-11-03,94094.05
2023-11-04,80822.72
2023-11-05,53469.11
2023-11-06,132768.48
2023-11-07,59389.81
2023-11-08,29709.94
2023-11-09,130183.75
2023-11-10,322795.76
2023-11-11,266056.78
2023-11-12,64795.74
2023-11-13,32423.07
2023-11-14,78758.36
2023-11-15,146163.60
2023-11-16,122754.47
2023-11-17,105301.63
2023-11-18,31239.41