date,token_incentives
2020-08-13,203642.46
2020-08-14,6168198.44
2020-08-15,4679252.82
2020-08-16,4099155.07
2020-08-17,2842893.04
2020-08-18,2534739.57
2020-08-19,2352776.79
2020-08-20,2873620.76
2020-08-21,1751292.95
2020-08-22,1672600.43
2020-08-23,1671318.21
2020-08-24,1552941.96
2020-08-25,1404447.09
2020-08-26,5652614.53
2020-08-27,2610932.83
2020-08-28,2134808.92
2020-08-29,2644888.77
2020-08-30,1980883.77
2020-08-31,3101952.83
2020-09-01,3089614.20
2020-09-02,2672455.57
2020-09-03,1805122.97
2020-09-04,2349376.30
2020-09-05,1284940.05
2020-09-06,1197989.25
2020-09-07,1231424.06
2020-09-08,1054457.20
2020-09-09,1363169.16
2020-09-10,1014159.07
2020-09-11,1277253.56
2020-09-12,1012978.86
2020-09-13,2768298.99
2020-09-14,993013.03
2020-09-15,842101.10
2020-09-16,673986.14
2020-09-17,1527504.37
2020-09-18,666973.63
2020-09-19,917769.49
2020-09-20,942865.58
2020-09-21,1610472.95
2020-09-22,720917.46
2020-09-23,606632.06
2020-09-24,742149.71
2020-09-25,764380.47
2020-09-26,850357.16
2020-09-27,664436.50
2020-09-28,659747.25
2020-09-29,552861.57
2020-09-30,609188.69
2020-10-01,768200.76
2020-10-02,530551.21
2020-10-03,459706.04
2020-10-04,542842.97
2020-10-05,635011.54
2020-10-06,333899.79
2020-10-07,442722.97
2020-10-08,421719.12
2020-10-09,449007.34
2020-10-10,392967.48
2020-10-11,323293.79
2020-10-12,483323.81
2020-10-13,356222.57
2020-10-14,357938.51
2020-10-15,379090.13
2020-10-16,319531.40
2020-10-17,263643.05
2020-10-18,318339.47
2020-10-19,301198.21
2020-10-20,252381.59
2020-10-21,370039.78
2020-10-22,303511.71
2020-10-23,211737.27
2020-10-24,232504.91
2020-10-25,196722.34
2020-10-26,340462.63
2020-10-27,436580.53
2020-10-28,273426.68
2020-10-29,353794.92
2020-10-30,219262.81
2020-10-31,205259.04
2020-11-01,250741.80
2020-11-02,283081.66
2020-11-03,241638.76
2020-11-04,321386.48
2020-11-05,266051.01
2020-11-06,310771.27
2020-11-07,291836.95
2020-11-08,312352.71
2020-11-09,319225.55
2020-11-10,359793.88
2020-11-11,412263.86
2020-11-12,308018.86
2020-11-13,435865.94
2020-11-14,399316.97
2020-11-15,565222.50
2020-11-16,577293.66
2020-11-17,641577.76
2020-11-18,539256.96
2020-11-19,554290.58
2020-11-20,558706.12
2020-11-21,463340.57
2020-11-22,437902.70
2020-11-23,440359.75
2020-11-24,455883.36
2020-11-25,427107.52
2020-11-26,273462.68
2020-11-27,409048.64
2020-11-28,349860.00
2020-11-29,473075.66
2020-11-30,436124.83
2020-12-01,410343.99
2020-12-02,667568.46
2020-12-03,635249.28
2020-12-04,370181.38
2020-12-05,524781.55
2020-12-06,500563.58
2020-12-07,546627.33
2020-12-08,322260.85
2020-12-09,351264.97
2020-12-10,417347.04
2020-12-11,568503.12
2020-12-12,328182.20
2020-12-13,371022.62
2020-12-14,502205.67
2020-12-15,340589.65
2020-12-16,267612.72
2020-12-17,417083.89
2020-12-18,989710.96
2020-12-19,248625.92
2020-12-20,424340.58
2020-12-21,513549.89
2020-12-22,313658.71
2020-12-23,221333.97
2020-12-24,192281.14
2020-12-25,317975.72
2020-12-26,294135.21
2020-12-27,289580.21
2020-12-28,342083.52
2020-12-29,316944.21
2020-12-30,763472.05
2020-12-31,440833.64
2021-01-01,505292.43
2021-01-02,354638.69
2021-01-03,364111.07
2021-01-04,350796.63
2021-01-05,420148.66
2021-01-06,600319.42
2021-01-07,530639.13
2021-01-08,1029491.23
2021-01-09,457592.22
2021-01-10,599655.08
2021-01-11,261672.38
2021-01-12,373571.57
2021-01-13,634603.87
2021-01-14,571054.49
2021-01-15,1630102.31
2021-01-16,740321.11
2021-01-17,1642099.40
2021-01-18,1448817.96
2021-01-19,858562.13
2021-01-20,976824.83
2021-01-21,1404449.88
2021-01-22,1390215.51
2021-01-23,1462003.79
2021-01-24,2050285.36
2021-01-25,1424318.39
2021-01-26,1460342.26
2021-01-27,952649.37
2021-01-28,1376383.73
2021-01-29,1255462.30
2021-01-30,1721090.93
2021-01-31,1833000.71
2021-02-01,1574536.17
2021-02-02,1665357.21
2021-02-03,1727608.60
2021-02-04,1543085.71
2021-02-05,1733371.81
2021-02-06,2652767.75
2021-02-07,2745537.17
2021-02-08,1822756.93
2021-02-09,1704798.26
2021-02-10,2252766.07
2021-02-11,2213469.31
2021-02-12,3068843.79
2021-02-13,1657989.77
2021-02-14,2240026.25
2021-02-15,1186587.74
2021-02-16,2004307.71
2021-02-17,1414950.08
2021-02-18,1630101.02
2021-02-19,2243235.96
2021-02-20,2775438.14
2021-02-21,1926738.21
2021-02-22,1509983.18
2021-02-23,832149.43
2021-02-24,1345205.71
2021-02-25,1144071.77
2021-02-26,1525990.17
2021-02-27,1148334.82
2021-02-28,1358741.94
2021-03-01,2635751.33
2021-03-02,2077010.66
2021-03-03,1846414.42
2021-03-04,1481217.99
2021-03-05,1095920.19
2021-03-06,1222957.12
2021-03-07,2584675.97
2021-03-08,1831072.04
2021-03-09,1868993.33
2021-03-10,1105022.27
2021-03-11,1116410.11
2021-03-12,1563052.00
2021-03-13,1234347.14
2021-03-14,1293513.34
2021-03-15,1526825.80
2021-03-16,1450437.55
2021-03-17,1971851.55
2021-03-18,1937624.15
2021-03-19,2427462.11
2021-03-20,1937611.32
2021-03-21,1710444.53
2021-03-22,1434522.12
2021-03-23,2521776.24
2021-03-24,2051091.61
2021-03-25,1554407.09
2021-03-26,2001126.63
2021-03-27,2176574.39
2021-03-28,2671967.20
2021-03-29,4315321.50
2021-03-30,2327061.29
2021-03-31,1939868.23
2021-04-01,1984146.45
2021-04-02,2612137.68
2021-04-03,2523185.53
2021-04-04,2561687.56
2021-04-05,2143840.79
2021-04-06,2075033.77
2021-04-07,2418769.41
2021-04-08,2372673.47
2021-04-09,2129345.13
2021-04-10,2024505.75
2021-04-11,2149360.10
2021-04-12,2737917.07
2021-04-13,3438668.65
2021-04-14,4848101.71
2021-04-15,4560816.91
2021-04-16,3255027.90
2021-04-17,2728627.38
2021-04-18,2496985.62
2021-04-19,1463421.97
2021-04-20,1418699.86
2021-04-21,1885352.15
2021-04-22,1687867.66
2021-04-23,2361650.49
2021-04-24,1825442.96
2021-04-25,1659334.93
2021-04-26,2577239.51
2021-04-27,2736808.15
2021-04-28,1686074.50
2021-04-29,1851805.62
2021-04-30,1879610.84
2021-05-01,3324992.41
2021-05-02,2551878.56
2021-05-03,3057365.45
2021-05-04,1702146.48
2021-05-05,3073247.25
2021-05-06,2021139.48
2021-05-07,3300436.92
2021-05-08,1464135.15
2021-05-09,1742200.05
2021-05-10,1589082.39
2021-05-11,928232.22
2021-05-12,1636688.37
2021-05-13,3260117.68
2021-05-14,1976314.86
2021-05-15,2292532.34
2021-05-16,3589778.46
2021-05-17,2656603.03
2021-05-18,2720277.83
2021-05-19,1555978.19
2021-05-20,1186690.36
2021-05-21,1623747.29
2021-05-22,1470530.36
2021-05-23,1427313.81
2021-05-24,958219.23
2021-05-25,1163333.26
2021-05-26,1357217.93
2021-05-27,1081525.77
2021-05-28,1121260.37
2021-05-29,1399861.90
2021-05-30,1314569.22
2021-05-31,1396649.60
2021-06-01,1881331.54
2021-06-02,2482545.89
2021-06-03,2894789.85
2021-06-04,2149609.43
2021-06-05,1791274.32
2021-06-06,1877633.49
2021-06-07,2119791.76
2021-06-08,1822786.02
2021-06-09,3082527.32
2021-06-10,1682178.82
2021-06-11,1508329.11
2021-06-12,1511746.77
2021-06-13,1549473.11
2021-06-14,1698430.53
2021-06-15,1784770.22
2021-06-16,1454808.73
2021-06-17,1521469.20
2021-06-18,2465937.72
2021-06-19,1168395.33
2021-06-20,1158607.42
2021-06-21,977908.25
2021-06-22,1143067.43
2021-06-23,1220731.40
2021-06-24,1517879.63
2021-06-25,1100259.17
2021-06-26,1633727.49
2021-06-27,1172545.55
2021-06-28,1291123.31
2021-06-29,1400093.78
2021-06-30,1279184.99
2021-07-01,2040445.35
2021-07-02,1106878.37
2021-07-03,1095005.60
2021-07-04,1334062.52
2021-07-05,1169899.13
2021-07-06,1219196.78
2021-07-07,1617800.40
2021-07-08,1931400.51
2021-07-09,1098830.27
2021-07-10,1155424.57
2021-07-11,1051310.68
2021-07-12,1046395.89
2021-07-13,1086006.61
2021-07-14,1072142.09
2021-07-15,1613015.58
2021-07-16,1465070.06
2021-07-17,995671.55
2021-07-18,924056.55
2021-07-19,971182.02
2021-07-20,746783.29
2021-07-21,952635.83
2021-07-22,1866768.10
2021-07-23,1073311.04
2021-07-24,1168342.67
2021-07-25,878233.19
2021-07-26,1030424.46
2021-07-27,966402.87
2021-07-28,902619.40
2021-07-29,1935716.20
2021-07-30,1131585.60
2021-07-31,1161831.78
2021-08-01,1029454.78
2021-08-02,986325.66
2021-08-03,1158784.16
2021-08-04,1006319.25
2021-08-05,2028038.60
2021-08-06,1291641.92
2021-08-07,1197692.10
2021-08-08,1160601.94
2021-08-09,1162564.60
2021-08-10,1338578.27
2021-08-11,1705998.51
2021-08-12,2556835.71
2021-08-13,1503797.43
2021-08-14,1427801.91
2021-08-15,1214909.36
2021-08-16,1307147.21
2021-08-17,976470.44
2021-08-18,1284636.86
2021-08-19,2026226.34
2021-08-20,1318867.45
2021-08-21,1089301.11
2021-08-22,1243312.01
2021-08-23,1806059.55
2021-08-24,1313291.40
2021-08-25,1214741.77
2021-08-26,2086962.53
2021-08-27,1146418.45
2021-08-28,1071991.05
2021-08-29,1273536.71
2021-08-30,1291638.73
2021-08-31,1493200.20
2021-09-01,1371978.24
2021-09-02,2537753.10
2021-09-03,934059.33
2021-09-04,1316495.51
2021-09-05,1324121.66
2021-09-06,1464610.49
2021-09-07,1118472.37
2021-09-08,1134620.50
2021-09-09,2300883.03
2021-09-10,1242366.74
2021-09-11,1376267.32
2021-09-12,1538199.07
2021-09-13,1478044.87
2021-09-14,1724089.49
2021-09-15,2770591.28
2021-09-16,3183342.03
2021-09-17,1520488.04
2021-09-18,1559933.06
2021-09-19,1647957.85
2021-09-20,1174770.64
2021-09-21,1183413.01
2021-09-22,1426153.42
2021-09-23,2952321.98
2021-09-24,1348010.45
2021-09-25,1486114.35
2021-09-26,1396615.98
2021-09-27,1262330.95
2021-09-28,1307271.79
2021-09-29,1307931.92
2021-09-30,2529850.37
2021-10-01,1477231.52
2021-10-02,1438160.72
2021-10-03,1729503.26
2021-10-04,1668022.61
2021-10-05,1766957.34
2021-10-06,1347852.94
2021-10-07,2707056.20
2021-10-08,1723046.69
2021-10-09,1671744.52
2021-10-10,1602643.07
2021-10-11,1445162.74
2021-10-12,1593434.07
2021-10-13,1540857.14
2021-10-14,4112101.65
2021-10-15,1796901.24
2021-10-16,2315228.17
2021-10-17,1889159.31
2021-10-18,1658679.11
2021-10-19,1673827.57
2021-10-20,1971785.89
2021-10-21,2640846.43
2021-10-22,2178797.57
2021-10-23,2214178.03
2021-10-24,2039616.04
2021-10-25,3609467.14
2021-10-26,2812439.00
2021-10-27,2516177.71
2021-10-28,4708104.47
2021-10-29,3085532.52
2021-10-30,3075232.65
2021-10-31,2431106.05
2021-11-01,2736391.87
2021-11-02,2472202.39
2021-11-03,2470591.13
2021-11-04,3697783.55
2021-11-05,2212393.18
2021-11-06,2327854.28
2021-11-07,2659151.84
2021-11-08,2384331.97
2021-11-09,2555157.92
2021-11-10,2228101.20
2021-11-11,4586213.60
2021-11-12,3739595.24
2021-11-13,2332245.30
2021-11-14,2183882.19
2021-11-15,2576537.88
2021-11-16,2080025.08
2021-11-17,2445864.05
2021-11-18,4192881.65
2021-11-19,4496319.19
2021-11-20,2229400.94
2021-11-21,2153199.01
2021-11-22,2630281.39
2021-11-23,2906088.08
2021-11-24,3683484.61
2021-11-25,5279823.40
2021-11-26,2951284.63
2021-11-27,2841315.02
2021-11-28,2744682.87
2021-11-29,2678734.38
2021-11-30,2969119.80
2021-12-01,3200311.91
2021-12-02,3976365.39
2021-12-03,2806039.54
2021-12-04,1987496.18
2021-12-05,2080201.49
2021-12-06,1940804.07
2021-12-07,2474655.25
2021-12-08,2261249.89
2021-12-09,4058115.25
2021-12-10,1813275.01
2021-12-11,2264984.26
2021-12-12,2128661.59
2021-12-13,1914892.22
2021-12-14,1980464.50
2021-12-15,2144657.14
2021-12-16,3735853.62
2021-12-17,2909725.69
2021-12-18,2691419.89
2021-12-19,2508817.89
2021-12-20,2387763.42
2021-12-21,3206154.82
2021-12-22,3980485.04
2021-12-23,4649669.32
2021-12-24,3110769.79
2021-12-25,3486373.85
2021-12-26,3475427.79
2021-12-27,3138257.08
2021-12-28,2718202.12
2021-12-29,3399647.29
2021-12-30,4523058.11
2021-12-31,3307210.48
2022-01-01,3837545.58
2022-01-02,3567514.75
2022-01-03,4020554.07
2022-01-04,3594437.16
2022-01-05,3160316.74
2022-01-06,4848251.13
2022-01-07,2906761.87
2022-01-08,2850625.13
2022-01-09,2592435.13
2022-01-10,2456335.50
2022-01-11,2712542.43
2022-01-12,2961353.37
2022-01-13,4470928.29
2022-01-14,3202149.11
2022-01-15,3119523.35
2022-01-16,3088488.13
2022-01-17,2758811.32
2022-01-18,2745745.59
2022-01-19,2598112.27
2022-01-20,3403179.06
2022-01-21,1890459.22
2022-01-22,1855837.69
2022-01-23,1736778.32
2022-01-24,1663591.67
2022-01-25,1809072.78
2022-01-26,1642143.91
2022-01-27,2375066.02
2022-01-28,1800586.78
2022-01-29,1841885.90
2022-01-30,1867323.86
2022-01-31,1948402.38
2022-02-01,2046756.10
2022-02-02,1925908.29
2022-02-03,2802540.19
2022-02-04,1997783.14
2022-02-05,2214107.73
2022-02-06,1898259.33
2022-02-07,2298255.31
2022-02-08,2043545.40
2022-02-09,2052222.65
2022-02-10,2736320.57
2022-02-11,1736966.83
2022-02-12,1711545.20
2022-02-13,1638529.67
2022-02-14,1710790.72
2022-02-15,1756430.52
2022-02-16,2070778.66
2022-02-17,2502537.14
2022-02-18,1678400.72
2022-02-19,1652171.89
2022-02-20,1560530.75
2022-02-21,1306518.40
2022-02-22,1487018.51
2022-02-23,1353393.36
2022-02-24,2015713.98
2022-02-25,1358189.29
2022-02-26,1447928.21
2022-02-27,1285139.89
2022-02-28,1523228.84
2022-03-01,1590950.88
2022-03-02,1527854.10
2022-03-03,2136233.96
2022-03-04,1369836.00
2022-03-05,1355811.06
2022-03-06,1159030.09
2022-03-07,1168836.57
2022-03-08,1225702.83
2022-03-09,1321250.54
2022-03-10,1808605.35
2022-03-11,1182497.83
2022-03-12,1175011.15
2022-03-13,1097867.48
2022-03-14,1181737.92
2022-03-15,1106372.31
2022-03-16,1254221.14
2022-03-17,1757530.76
2022-03-18,1307546.10
2022-03-19,1400840.29
2022-03-20,1245631.94
2022-03-21,1332510.43
