date,trading_volume
2020-10-30,37503870.44
2020-10-31,26994734.21
2020-11-01,54599905.49
2020-11-02,64381329.55
2020-11-03,65080715.80
2020-11-04,44381851.93
2020-11-05,82468584.37
2020-11-06,77165566.10
2020-11-07,81851754.55
2020-11-08,40269244.66
2020-11-09,77716268.72
2020-11-10,42845612.08
2020-11-11,42979046.57
2020-11-12,59135612.23
2020-11-13,82776087.51
2020-11-14,311167844.77
2020-11-15,71714052.45
2020-11-16,81291838.71
2020-11-17,87274151.62
2020-11-18,112554850.32
2020-11-19,88433801.31
2020-11-20,89667044.31
2020-11-21,68488900.26
2020-11-22,125547313.40
2020-11-23,72985438.38
2020-11-24,63848307.25
2020-11-25,45136697.51
2020-11-26,186674230.81
2020-11-27,46794016.03
2020-11-28,38783005.85
2020-11-29,33294572.13
2020-11-30,186443000.12
2020-12-01,80457009.80
2020-12-02,62256191.63
2020-12-03,34560573.00
2020-12-04,42489891.44
2020-12-05,64946275.48
2020-12-06,40426094.11
2020-12-07,40359719.67
2020-12-08,47916026.45
2020-12-09,68224566.60
2020-12-10,64322481.94
2020-12-11,51357374.08
2020-12-12,97491077.44
2020-12-13,43899845.02
2020-12-14,47699123.59
2020-12-15,43581465.40
2020-12-16,90295782.50
2020-12-17,81923497.85
2020-12-18,94082567.93
2020-12-19,60373695.73
2020-12-20,49088267.31
2020-12-21,103101931.87
2020-12-22,205537283.98
2020-12-23,132263680.74
2020-12-24,96505133.20
2020-12-25,63541403.80
2020-12-26,91914549.68
2020-12-27,160408185.81
2020-12-28,137108828.12
2020-12-29,94443446.25
2020-12-30,260466704.75
2020-12-31,162234386.09
2021-01-01,167989703.68
2021-01-02,662549515.79
2021-01-03,207270322.15
2021-01-04,300256466.33
2021-01-05,178638305.58
2021-01-06,199823134.16
2021-01-07,246747083.56
2021-01-08,204019246.60
2021-01-09,169524183.28
2021-01-10,184395475.19
2021-01-11,314449360.06
2021-01-12,219057476.04
2021-01-13,154260438.33
2021-01-14,284295909.00
2021-01-15,214344092.96
2021-01-16,149233234.99
2021-01-17,113199471.79
2021-01-18,135940083.93
2021-01-19,235130994.82
2021-01-20,164687498.27
2021-01-21,237223286.20
2021-01-22,428293331.51
2021-01-23,191593334.71
2021-01-24,165169036.72
2021-01-25,230907402.18
2021-01-26,223385272.45
2021-01-27,189273976.17
2021-01-28,174561173.83
2021-01-29,303901970.98
2021-01-30,118839567.88
2021-01-31,172607824.18
2021-02-01,170720526.68
2021-02-02,208605671.83
2021-02-03,150254626.56
2021-02-04,189113643.63
2021-02-05,147302142.75
2021-02-06,156734225.89
2021-02-07,165951239.49
2021-02-08,272289888.85
2021-02-09,186413322.63
2021-02-10,291197599.62
2021-02-11,175576834.59
2021-02-12,135419939.76
2021-02-13,171151814.08
2021-02-14,180577381.74
2021-02-15,169823021.70
2021-02-16,156609130.30
2021-02-17,188772581.13
2021-02-18,181381810.28
2021-02-19,159033296.95
2021-02-20,245261580.03
2021-02-21,143422861.06
2021-02-22,261312989.80
2021-02-23,402831011.99
2021-02-24,292851577.25
2021-02-25,248069217.88
2021-02-26,247241067.83
2021-02-27,152845812.15
2021-02-28,363140981.64
2021-03-01,264732259.39
2021-03-02,317721333.03
2021-03-03,174436900.79
2021-03-04,234191040.12
2021-03-05,253947955.36
2021-03-06,232721962.09
2021-03-07,576487289.73
2021-03-08,239186122.42
2021-03-09,326543263.15
2021-03-10,260226796.26
2021-03-11,189186637.11
2021-03-12,368221737.87
2021-03-13,209964442.36
2021-03-14,170696578.82
2021-03-15,166764096.82
2021-03-16,187590833.76
2021-03-17,240906870.35
2021-03-18,125226642.99
2021-03-19,173780766.88
2021-03-20,120946735.12
2021-03-21,145028298.95
2021-03-22,171468112.87
2021-03-23,154547837.11
2021-03-24,265506039.72
2021-03-25,219405020.94
2021-03-26,322076652.98
2021-03-27,177400229.38
2021-03-28,159192624.56
2021-03-29,212739946.07
2021-03-30,220627602.92
2021-03-31,139952345.52
2021-04-01,193538426.12
2021-04-02,257804757.50
2021-04-03,356786418.25
2021-04-04,208685485.77
2021-04-05,240322232.27
2021-04-06,106252874.95
2021-04-07,169384949.51
2021-04-08,310285757.83
2021-04-09,336952155.47
2021-04-10,344864107.47
2021-04-11,210031590.81
2021-04-12,313364280.14
2021-04-13,671664159.12
2021-04-14,364209174.74
2021-04-15,142229686.65
2021-04-16,390655551.59
2021-04-17,161304882.89
2021-04-18,409475745.35
2021-04-19,1098369387.24
2021-04-20,282019083.42
2021-04-21,210413421.16
2021-04-22,255145270.43
2021-04-23,277686789.24
2021-04-24,183898455.40
2021-04-25,150789966.01
2021-04-26,355932948.50
2021-04-27,352402204.40
2021-04-28,274067694.60
2021-04-29,214029109.43
2021-04-30,200675817.27
2021-05-01,249316384.14
2021-05-02,185558939.85
2021-05-03,365033551.03
2021-05-04,593505982.66
2021-05-05,326536706.21
2021-05-06,389289937.64
2021-05-07,378886173.68
2021-05-08,211005292.64
2021-05-09,218304830.98
2021-05-10,264635571.95
2021-05-11,384079398.66
2021-05-12,483796034.50
2021-05-13,517594406.54
2021-05-14,680451057.34
2021-05-15,345340639.73
2021-05-16,487502155.49
2021-05-17,581192143.27
2021-05-18,407407201.93
2021-05-19,1603245501.09
2021-05-20,1225841507.06
2021-05-21,861977925.77
2021-05-22,455996591.12
2021-05-23,1557708549.27
2021-05-24,694272501.12
2021-05-25,500766794.83
2021-05-26,594802547.40
2021-05-27,615893737.74
2021-05-28,310275935.62
2021-05-29,458054498.73
2021-05-30,510814863.63
2021-05-31,311548886.55
2021-06-01,349534748.97
2021-06-02,434393644.08
2021-06-03,330694357.39
2021-06-04,266528763.62
2021-06-05,201569013.74
2021-06-06,195374092.53
2021-06-07,225915028.01
2021-06-08,349569445.06
2021-06-09,322879985.46
2021-06-10,329119973.27
2021-06-11,427731131.11
2021-06-12,229000518.81
2021-06-13,180652158.54
2021-06-14,322962492.97
2021-06-15,285844267.28
2021-06-16,349066079.54
2021-06-17,412564543.47
2021-06-18,347558660.29
2021-06-19,220386918.28
2021-06-20,221553311.26
2021-06-21,677492272.18
2021-06-22,579916287.11
2021-06-23,263751044.93
2021-06-24,241320445.83
2021-06-25,274901409.78
2021-06-26,102257825.90
2021-06-27,158770714.57
2021-06-28,195958287.84
2021-06-29,412822671.26
2021-06-30,169424950.69
2021-07-01,435996768.20
2021-07-02,184202714.32
2021-07-03,334400015.88
2021-07-04,85122325.81
2021-07-05,106887250.58
2021-07-06,229272258.27
2021-07-07,128062706.36
2021-07-08,196404797.95
2021-07-09,186814199.25
2021-07-10,110595696.12
2021-07-11,92499141.50
2021-07-12,187350403.84
2021-07-13,359434201.52
2021-07-14,137239758.57
2021-07-15,263492846.34
2021-07-16,299059459.79
2021-07-17,104326050.59
2021-07-18,73235770.74
2021-07-19,286865163.91
2021-07-20,333928718.21
2021-07-21,293666002.03
2021-07-22,135503550.29
2021-07-23,152185335.91
2021-07-24,227683658.82
2021-07-25,176225107.08
2021-07-26,274248296.04
2021-07-27,112429964.43
2021-07-28,192263493.37
2021-07-29,199908380.84
2021-07-30,267144381.13
2021-07-31,209551248.27
2021-08-01,384778386.93
2021-08-02,132153664.38
2021-08-03,423772023.59
2021-08-04,281498716.36
2021-08-05,187286373.85
2021-08-06,374432002.32
2021-08-07,312500566.01
2021-08-08,167814925.34
2021-08-09,254095875.87
2021-08-10,300656874.18
2021-08-11,174135079.16
2021-08-12,370149104.49
2021-08-13,307837784.27
2021-08-14,209251360.21
2021-08-15,162835080.05
2021-08-16,445816708.10
2021-08-17,301454118.81
2021-08-18,453837623.26
2021-08-19,192351641.21
2021-08-20,287663629.27
2021-08-21,337750312.94
2021-08-22,185821715.39
2021-08-23,297175833.58
2021-08-24,261469310.99
2021-08-25,188970783.28
2021-08-26,188174627.28
2021-08-27,162119490.57
2021-08-28,94684133.31
2021-08-29,139939205.40
2021-08-30,237416468.17
2021-08-31,264444628.76
2021-09-01,233854299.75
2021-09-02,305625462.35
2021-09-03,174494827.49
2021-09-04,123061952.05
2021-09-05,164520192.49
2021-09-06,149609609.31
2021-09-07,451615947.49
2021-09-08,360232154.30
2021-09-09,242991117.71
2021-09-10,303819495.06
2021-09-11,333634392.30
2021-09-12,185625726.26
2021-09-13,201004199.54
2021-09-14,225269034.97
2021-09-15,453414562.61
2021-09-16,359580782.67
2021-09-17,221465307.13
2021-09-18,140534405.33
2021-09-19,227026234.80
2021-09-20,529592682.42
2021-09-21,461172008.21
2021-09-22,250191371.83
2021-09-23,336286289.87
2021-09-24,561576153.41
2021-09-25,282685183.98
2021-09-26,312470301.28
2021-09-27,225057299.20
2021-09-28,274218385.39
2021-09-29,221376112.39
2021-09-30,298859725.52
2021-10-01,406806285.82
2021-10-02,232520785.06
2021-10-03,245621688.08
2021-10-04,259640036.93
2021-10-05,264676677.99
2021-10-06,466917387.26
2021-10-07,452193781.18
2021-10-08,416238824.94
2021-10-09,224557516.28
2021-10-10,301767122.64
2021-10-11,297287298.30
2021-10-12,338626833.34
2021-10-13,287205738.25
2021-10-14,611193021.89
2021-10-15,584982708.26
2021-10-16,431035124.09
2021-10-17,278258960.20
2021-10-18,381980384.76
2021-10-19,415225620.37
2021-10-20,641230425.10
2021-10-21,474671280.26
2021-10-22,518432915.88
2021-10-23,242364800.49
2021-10-24,294205617.40
2021-10-25,342535546.00
2021-10-26,371666168.75
2021-10-27,603370474.31
2021-10-28,689053446.18
2021-10-29,1049004476.69
2021-10-30,532385548.69
2021-10-31,345577275.41
2021-11-01,314277710.15
2021-11-02,458972730.38
2021-11-03,313176358.13
2021-11-04,485130182.20
2021-11-05,557576776.34
2021-11-06,287060598.67
2021-11-07,332667307.11
2021-11-08,624132921.52
2021-11-09,493479716.43
2021-11-10,924087831.44
2021-11-11,479765641.29
2021-11-12,423400914.38
2021-11-13,378405694.21
2021-11-14,233308356.02
2021-11-15,361917458.48
2021-11-16,676641673.18
2021-11-17,697735332.00
2021-11-18,630980490.60
2021-11-19,511316948.07
2021-11-20,314409295.99
2021-11-21,384078571.82
2021-11-22,759606055.25
2021-11-23,416666285.15
2021-11-24,545472309.41
2021-11-25,625197033.64
2021-11-26,681064238.70
2021-11-27,358163879.44
2021-11-28,381631782.25
2021-11-29,293056179.92
2021-11-30,729711717.67
2021-12-01,951731095.22
2021-12-02,958052685.53
2021-12-03,950684959.19
2021-12-04,1455178390.63
2021-12-05,815837304.65
2021-12-06,991023114.85
2021-12-07,501234574.33
2021-12-08,603852420.26
2021-12-09,976405641.47
2021-12-10,766120796.48
2021-12-11,575151356.10
2021-12-12,293776826.23
2021-12-13,630045791.71
2021-12-14,584408927.11
2021-12-15,588939915.78
2021-12-16,423774416.81
2021-12-17,586558385.55
2021-12-18,1048078706.33
2021-12-19,528283743.90
2021-12-20,852411333.93
2021-12-21,1292570150.83
2021-12-22,779914223.89
2021-12-23,946744901.11
2021-12-24,738634766.71
2021-12-25,427880225.66
2021-12-26,374295132.10
2021-12-27,536104628.10
2021-12-28,400145977.40
2021-12-29,477581979.05
2021-12-30,594423601.06
2021-12-31,510679985.45
2022-01-01,720948995.25
2022-01-02,345341717.38
2022-01-03,519733231.38
2022-01-04,460918438.42
2022-01-05,652399171.07
2022-01-06,810405877.45
2022-01-07,897008327.20
2022-01-08,497788321.63
2022-01-09,432323126.24
2022-01-10,540151572.67
2022-01-11,498785435.88
2022-01-12,375851239.29
2022-01-13,537116535.49
2022-01-14,348233865.35
2022-01-15,362338539.96
2022-01-16,344071828.65
2022-01-17,483745998.55
2022-01-18,462268921.02
2022-01-19,782130799.81
2022-01-20,798442025.51
2022-01-21,1918400530.37
2022-01-22,2285555543.30
2022-01-23,657590477.22
2022-01-24,1136113139.95
2022-01-25,686910130.87
2022-01-26,1042242677.74
2022-01-27,3100536961.05
2022-01-28,4292060897.05
2022-01-29,1498034921.72
2022-01-30,598764953.67
2022-01-31,600527127.11
2022-02-01,465285406.96
2022-02-02,415387850.37
2022-02-03,437578312.81
2022-02-04,690199603.32
2022-02-05,499314803.40
2022-02-06,324508773.91
2022-02-07,1829626732.99
2022-02-08,516194815.48
2022-02-09,445008003.63
2022-02-10,486971585.56
2022-02-11,491415693.98
2022-02-12,274881883.27
2022-02-13,318237345.40
2022-02-14,457297509.81
2022-02-15,306503579.41
2022-02-16,405641480.56
2022-02-17,475049344.29
2022-02-18,403711111.77
2022-02-19,280482937.72
2022-02-20,257262210.40
2022-02-21,478716971.00
2022-02-22,506466659.30
2022-02-23,478685035.07
2022-02-24,904965994.79
2022-02-25,774006435.40
2022-02-26,398910527.67
2022-02-27,407175468.70
2022-02-28,505620786.92
2022-03-01,555573747.29
2022-03-02,616233008.25
2022-03-03,445731648.31
2022-03-04,562082574.76
2022-03-05,484280386.29
2022-03-06,609202205.73
2022-03-07,603301914.28
2022-03-08,521863985.10
2022-03-09,377701192.10
2022-03-10,393459770.85
2022-03-11,562192946.15
2022-03-12,477184664.81
2022-03-13,498821666.03
2022-03-14,410851104.23
2022-03-15,292941657.17
2022-03-16,517479280.82
2022-03-17,500247184.00
2022-03-18,623231476.67
2022-03-19,245880407.52
2022-03-20,248344612.37
2022-03-21,289486309.09
2022-03-22,341785471.09
2022-03-23,416390091.25
2022-03-24,624718435.51
2022-03-25,730742059.80
2022-03-26,314478692.37
2022-03-27,372193307.81
2022-03-28,444694579.29
2022-03-29,380946079.32
2022-03-30,491552588.86
2022-03-31,887104636.03
2022-04-01,539321709.45
2022-04-02,504385121.28
2022-04-03,316182835.04
2022-04-04,470940623.03
2022-04-05,401107655.49
2022-04-06,446416726.09
2022-04-07,451179392.15
2022-04-08,468805717.82
2022-04-09,266964769.68
2022-04-10,261887001.02
2022-04-11,819582709.05
2022-04-12,501465260.15
2022-04-13,442763163.46
2022-04-14,396650649.86
2022-04-15,672507687.40
2022-04-16,312011172.83
2022-04-17,546281630.22
2022-04-18,314169450.38
2022-04-19,301724627.00
2022-04-20,419784542.93
2022-04-21,505787561.91
2022-04-22,523602084.75
2022-04-23,246904475.07
2022-04-24,162612711.73
2022-04-25,434047184.12
2022-04-26,359591072.56
2022-04-27,369762911.47
2022-04-28,510300764.99
2022-04-29,338302285.22
2022-04-30,570395685.63
2022-05-01,443336685.18
2022-05-02,452353692.55
2022-05-03,325916462.49
2022-05-04,390436916.43
2022-05-05,414813186.95
2022-05-06,460025910.69
2022-05-07,1335848046.20
2022-05-08,2182859755.82
